,pilot3_identifier,sentence,sent_identifier,cond,cond_selection,sent_identifier_old_orig_pilot3.1,sent_cat,sent_cat_add,drop_bool,change_bool,mean_mem
206,pilot3sessM.0207,My marriage was because of them.,torontofantasy.6.318499,T,semantic,torontofantasy.6.318499,,,,,0.751074342088093
207,pilot3sessM.0208,They taught her humility and compassion.,torontofantasy.6.282971,T,semantic,torontofantasy.6.282971,,,,,0.7518748742950688
208,pilot3sessM.0209,Mom was stirring a sauce pan.,torontofantasy.6.481281,T,semantic,torontofantasy.6.481281,,,,,0.783520507300032
209,pilot3sessM.0210,Enough of all this tedious self-justification.,torontofantasy.6.410492,T,semantic,torontofantasy.6.410492,NAS,,,,0.7490654519619602
210,pilot3sessM.0211,She's using dancing moves to fight.,torontofantasy.6.034279,T,semantic,torontofantasy.6.034279,,,,,0.7694606270157461
211,pilot3sessM.0212,Was that demon or elven magic?,torontofantasy.6.259381,T,semantic,torontofantasy.6.259381,Q,,,,0.777493785040472
212,pilot3sessM.0213,"It was unheard of, unthinkable, impossible.",torontofantasy.6.375358,T,semantic,torontofantasy.6.375358,,,,,0.7332800192749881
213,pilot3sessM.0214,And beautiful and smart and witty.,torontofantasy.6.213329,T,semantic,torontofantasy.6.213329,NAS,,,,0.7606332936096676
214,pilot3sessM.0215,"Both mentally and physically, you're attracted.",torontofantasy.6.420693,T,semantic,torontofantasy.6.420693,,,,,0.7198037180365428
215,pilot3sessM.0216,Perhaps he'd put down rat poison?,torontofantasy.6.144008,T,semantic,torontofantasy.6.144008,Q,,,,0.7853058220927939
216,pilot3sessM.0217,Something small and wrapped in fabric.,torontofantasy.6.362024,T,semantic,torontofantasy.6.362024,NAS,NP,,,0.7620949830666822
217,pilot3sessM.0218,"A little scary, but not surprising.",torontofantasy.6.394874,T,semantic,torontofantasy.6.394874,NAS,,,,0.7549386063132496
218,pilot3sessM.0219,Of the Earth and the Moon.,torontofantasy.6.079499,T,semantic,torontofantasy.6.079499,NAS,,,,0.7646420456103747
219,pilot3sessM.0220,He felt more embarrassed than frightened.,torontofantasy.6.079182,T,semantic,torontofantasy.6.079182,,,,,0.7334617761931691
220,pilot3sessM.0221,"A test was necessary, she decided.",torontofantasy.6.185881,T,semantic,torontofantasy.6.185881,,,,,0.7361809595594568
221,pilot3sessM.0222,You may climb on the mountain.,torontofantasy.6.083211,T,semantic,torontofantasy.6.083211,,,,,0.7598261997057394
222,pilot3sessM.0223,I fell into the cow pasture.,torontofantasy.6.152873,T,semantic,torontofantasy.6.152873,,,,,0.7894755902398519
223,pilot3sessM.0224,He encouraged hostility and eventually war.,torontofantasy.6.004658,T,semantic,torontofantasy.6.004658,,,,,0.7475880225711334
224,pilot3sessM.0225,The inside was circular in shape.,torontofantasy.6.041006,T,semantic,torontofantasy.6.041006,,,,,0.7610360259482755
225,pilot3sessM.0226,It will only fuel the fire.,torontofantasy.6.395623,T,semantic,torontofantasy.6.395623,,,,,0.742308815735512
226,pilot3sessM.0227,That would be simple and effective.,torontofantasy.6.110902,T,semantic,torontofantasy.6.110902,,,,,0.7355092181993595
227,pilot3sessM.0228,"Most of all, it was huge.",torontofantasy.6.227402,T,semantic,torontofantasy.6.227402,,,,,0.742074214573116
228,pilot3sessM.0229,The neatly trimmed beard and moustache.,torontofantasy.6.364562,T,semantic,torontofantasy.6.364562,NAS,NP,,,0.7783134629548706
229,pilot3sessM.0230,Of what crime is he accused?,torontofantasy.6.483842,T,semantic,torontofantasy.6.483842,Q,,,,0.7558016920311817
230,pilot3sessM.0231,He turned to leave then stopped.,torontofantasy.6.023436,T,semantic,torontofantasy.6.023436,,,,,0.7457097108240452
231,pilot3sessM.0232,He was underground in a cave.,torontofantasy.6.427221,T,semantic,torontofantasy.6.427221,,,,,0.7820242534621178
232,pilot3sessM.0233,She lifted her gun and fired.,torontofantasy.6.437823,T,semantic,torontofantasy.6.437823,,,,,0.7535039701570184
233,pilot3sessM.0234,You have nothing but circumstantial evidence.,torontofantasy.6.185346,T,semantic,torontofantasy.6.185346,,,,,0.7415676269539966
234,pilot3sessM.0235,The promise of big business profits.,torontofantasy.6.347383,T,semantic,torontofantasy.6.347383,NAS,NP,,,0.7521138870347986
235,pilot3sessM.0236,You may dive in the sea.,torontofantasy.6.083212,T,semantic,torontofantasy.6.083212,,,,,0.7745178408564449
236,pilot3sessM.0237,A shower and clean clothes helped.,torontofantasy.6.311179,T,semantic,torontofantasy.6.311179,,,,,0.7519885348385423
237,pilot3sessM.0238,He understood the science behind it.,torontofantasy.6.346766,T,semantic,torontofantasy.6.346766,,,,,0.7557093726534893
238,pilot3sessM.0239,A tall man with sun-streaked hair.,torontofantasy.6.212443,T,semantic,torontofantasy.6.212443,NAS,NP,,,0.7785055227442769
239,pilot3sessM.0240,Hunt more than rabbits or deer.,torontofantasy.6.334772,T,semantic,torontofantasy.6.334772,,,,,0.7807345278344456
240,pilot3sessM.0241,Knocked him out with one punch.,torontofantasy.6.044560,T,semantic,torontofantasy.6.044560,NAS,,,,0.7522177464435544
241,pilot3sessM.0242,The economy everywhere was in crisis.,torontofantasy.6.458969,T,semantic,torontofantasy.6.458969,,,,,0.7743801587595289
242,pilot3sessM.0243,"On the surface, it made sense.",torontofantasy.6.339885,T,semantic,torontofantasy.6.339885,,,,,0.7380671664928548
243,pilot3sessM.0244,I have chocolate peanut butter brownies.,torontofantasy.6.325106,T,semantic,torontofantasy.6.325106,,,,,0.8106010837794462
244,pilot3sessM.0245,The wind blew cold and colder.,torontofantasy.6.464580,T,semantic,torontofantasy.6.464580,,,,,0.746268489464257
245,pilot3sessM.0246,A king must have an heir.,torontofantasy.6.463570,T,semantic,torontofantasy.6.463570,,,,,0.7664377786020727
246,pilot3sessM.0247,"He spoke baldly, with no pride.",torontofantasy.6.017148,T,semantic,torontofantasy.6.017148,,,,,0.7572192672794408
247,pilot3sessM.0248,Just peanut butter and hot cocoa.,torontofantasy.6.106669,T,semantic,torontofantasy.6.106669,NAS,,,,0.807105973695708
248,pilot3sessM.0249,A monkey with a bird's voice!,torontofantasy.6.049114,T,semantic,torontofantasy.6.049114,NAS,NP,,,0.771087055605539
249,pilot3sessM.0250,She screamed over the loud noise.,torontofantasy.6.282983,T,semantic,torontofantasy.6.282983,,,,,0.7558781495838488
250,pilot3sessM.0251,"The invisible girl, the unknown princess.",torontofantasy.6.473067,T,semantic,torontofantasy.6.473067,NAS,NP,,,0.778002142535236
251,pilot3sessM.0252,Not some innate sense or skill.,torontofantasy.6.068219,T,semantic,torontofantasy.6.068219,NAS,,,,0.7410993225681645
252,pilot3sessM.0253,She had a business to sell.,torontofantasy.6.344266,T,semantic,torontofantasy.6.344266,,,,,0.7450783186031545
253,pilot3sessM.0254,"He could be cruel, domineering, arrogant.",torontofantasy.6.012269,T,semantic,torontofantasy.6.012269,,,,,0.7443706617477005
254,pilot3sessM.0255,"Pleasure, release, then ultimately, eternal peace.",torontofantasy.6.262793,T,semantic,torontofantasy.6.262793,NAS,NP,,,0.7456272830977254
255,pilot3sessM.0256,Responsibility is vital in group discipline.,torontofantasy.6.005037,T,semantic,torontofantasy.6.005037,,,,,0.7525354147454469
256,pilot3sessM.0257,This is an occasion for celebration.,torontofantasy.6.250087,T,semantic,torontofantasy.6.250087,,,,,0.7551050816739866
257,pilot3sessM.0258,Used to be a truck driver.,torontofantasy.6.003917,T,semantic,torontofantasy.6.003917,NAS,,,,0.7514290500576045
258,pilot3sessM.0259,And it was boring and miserable.,torontofantasy.6.450936,T,semantic,torontofantasy.6.450936,,,,,0.7510903287761841
259,pilot3sessM.0260,"You planted this garden, did you?",torontofantasy.6.122197,T,semantic,torontofantasy.6.122197,Q,,,,0.7636028012991737
260,pilot3sessM.0261,The four of them silently embraced.,torontofantasy.6.036507,T,semantic,torontofantasy.6.036507,,,,,0.7253467505237765
261,pilot3sessM.0262,But the job with the blacksmith?,torontofantasy.6.337788,T,semantic,torontofantasy.6.337788,NAS,Q,,,0.7606732286009817
262,pilot3sessM.0263,The slick slide of moist flesh.,torontofantasy.6.170781,T,semantic,torontofantasy.6.170781,NAS,NP,,,0.7602169411350307
263,pilot3sessM.0264,"Become someone successful, or even famous.",torontofantasy.6.475851,T,semantic,torontofantasy.6.475851,com,,,,0.7392332888478544
264,pilot3sessM.0265,I suddenly feel shy and embarrassed.,torontofantasy.6.189555,T,semantic,torontofantasy.6.189555,,,,,0.7363334096700527
265,pilot3sessM.0266,And some green beans and tomatoes.,torontofantasy.6.079230,T,semantic,torontofantasy.6.079230,NAS,,,,0.7929354832182537
266,pilot3sessM.0267,She'd have to tread very carefully.,torontofantasy.6.357786,T,semantic,torontofantasy.6.357786,,,,,0.7206920447761901
267,pilot3sessM.0268,The clinic was for AIDS patients.,torontofantasy.6.247203,T,semantic,torontofantasy.6.247203,,,,,0.7674636309965185
268,pilot3sessM.0269,"The next day, he was gone.",torontofantasy.6.479059,T,semantic,torontofantasy.6.479059,,,,,0.7677010280753324
269,pilot3sessM.0270,No response to known prescription drugs.,torontofantasy.6.147313,T,semantic,torontofantasy.6.147313,NAS,,,,0.7855654568121072
270,pilot3sessM.0271,Morals and spirituality would become obsolete.,torontofantasy.6.282274,T,semantic,torontofantasy.6.282274,,,,,0.7665836723214116
271,pilot3sessM.0272,Or was she purposely ignoring it?,torontofantasy.6.001939,T,semantic,torontofantasy.6.001939,Q,,,,0.7373743569017344
272,pilot3sessM.0273,Trying to hide from your lies?,torontofantasy.6.370996,T,semantic,torontofantasy.6.370996,Q,,,,0.7478526941915759
273,pilot3sessM.0274,That blade will cut through anything.,torontofantasy.6.221691,T,semantic,torontofantasy.6.221691,,,,,0.7578794068621338
274,pilot3sessM.0275,The problem is the surveillance cameras.,torontofantasy.6.017801,T,semantic,torontofantasy.6.017801,,,,,0.7622392833003991
275,pilot3sessM.0276,A work of art in itself.,torontofantasy.6.468621,T,semantic,torontofantasy.6.468621,NAS,NP,,,0.7541562705036622
276,pilot3sessM.0277,Bare concrete floor met unpainted drywall.,torontofantasy.6.176895,T,semantic,torontofantasy.6.176895,,,,,0.7692210404969374
277,pilot3sessM.0278,"He asked, still sounding utterly disinterested.",torontofantasy.6.300812,T,semantic,torontofantasy.6.300812,NAS,,,,0.730520153188822
278,pilot3sessM.0279,Or threaten them in some way?,torontofantasy.6.372780,T,semantic,torontofantasy.6.372780,NAS,Q,,,0.7491698625526757
279,pilot3sessM.0280,In them was sorrow and anger.,torontofantasy.6.170725,T,semantic,torontofantasy.6.170725,,,,,0.7504405882406214
280,pilot3sessM.0281,The signal was one of power.,torontofantasy.6.109846,T,semantic,torontofantasy.6.109846,,,,,0.7355252067250583
281,pilot3sessM.0282,The one seen at the murder?,torontofantasy.6.056214,T,semantic,torontofantasy.6.056214,NAS,Q,,,0.7613602135730765
282,pilot3sessM.0283,"A game of football, I suggest?",torontofantasy.6.200641,T,semantic,torontofantasy.6.200641,Q,,,,0.7505863620145105
283,pilot3sessM.0284,And so very thoughtful of you.,torontofantasy.6.430724,T,semantic,torontofantasy.6.430724,NAS,,,,0.7285302186060899
284,pilot3sessM.0285,Were all the vampire stories true?,torontofantasy.6.459613,T,semantic,torontofantasy.6.459613,Q,,,,0.7612534720751345
285,pilot3sessM.0286,What else remained from the communism?,torontofantasy.6.085009,T,semantic,torontofantasy.6.085009,Q,,,,0.7693015761564516
286,pilot3sessM.0287,We could have increased cosmic radiation.,torontofantasy.6.195404,T,semantic,torontofantasy.6.195404,,,,,0.7625235610199081
287,pilot3sessM.0288,I'm not teaching middle school here.,torontofantasy.6.168656,T,semantic,torontofantasy.6.168656,,,,,0.7749459228781399
288,pilot3sessM.0289,Please send for him at once.,torontofantasy.6.418014,T,semantic,torontofantasy.6.418014,com,,,,0.7535598421505664
289,pilot3sessM.0290,"The court continued on, as expected.",torontofantasy.6.068245,T,semantic,torontofantasy.6.068245,,,,,0.7440582503198839
290,pilot3sessM.0291,He just laughs when we weep.,torontofantasy.6.061040,T,semantic,torontofantasy.6.061040,,,1.0,,0.763247412022996
291,pilot3sessM.0292,"Fortunately, she was not easily deterred.",torontofantasy.6.056580,T,semantic,torontofantasy.6.056580,,,,,0.7288741265847919
292,pilot3sessM.0293,For every room of the house.,torontofantasy.6.281122,T,semantic,torontofantasy.6.281122,NAS,,,,0.7415351179772989
293,pilot3sessM.0294,The building housed a great hall.,torontofantasy.6.329137,T,semantic,torontofantasy.6.329137,,,,,0.7486858426646426
294,pilot3sessM.0295,The sometimes cruel and hateful road.,torontofantasy.6.460006,T,semantic,torontofantasy.6.460006,NAS,NP,,,0.746326087767617
295,pilot3sessM.0296,"Color-wise, silver and pink are good.",torontofantasy.6.132560,T,semantic,torontofantasy.6.132560,,,,,0.7912442176309785
296,pilot3sessM.0297,There are seldom any other kind.,torontofantasy.6.193862,T,semantic,torontofantasy.6.193862,,,,,0.7379737986188598
297,pilot3sessM.0298,Plus there be laws and rules.,torontofantasy.6.316814,T,semantic,torontofantasy.6.316814,NAS,,,,0.7567552977424845
298,pilot3sessM.0299,She makes me brush my hair.,torontofantasy.6.356101,T,semantic,torontofantasy.6.356101,,,,,0.7594790788534166
299,pilot3sessM.0300,His soul sang with the music.,torontofantasy.6.245508,T,semantic,torontofantasy.6.245508,,,,,0.7667237407509676
300,pilot3sessM.0301,His knee pressed on my neck.,torontofantasy.6.340517,T,semantic,torontofantasy.6.340517,,,,,0.7576172777902387
301,pilot3sessM.0302,She could move undetected and untouched.,torontofantasy.6.029511,T,semantic,torontofantasy.6.029511,,,,,0.7602565418882287
302,pilot3sessM.0303,The military forces of the colony.,torontofantasy.6.152171,T,semantic,torontofantasy.6.152171,NAS,NP,,,0.7589741637035802
303,pilot3sessM.0304,His mental anxiety had no outlet.,torontofantasy.6.005133,T,semantic,torontofantasy.6.005133,,,,,0.7708160784739585
304,pilot3sessM.0305,Forgive me if I frighten you.,torontofantasy.6.193557,T,semantic,torontofantasy.6.193557,com,,,,0.7471104784073442
305,pilot3sessM.0306,I'm also hiring an office assistant.,torontofantasy.6.082378,T,semantic,torontofantasy.6.082378,,,,,0.7790070986665754
306,pilot3sessM.0307,"Read the book, sign the forms.",torontofantasy.6.394729,T,semantic,torontofantasy.6.394729,com,,,,0.7567751689470711
307,pilot3sessM.0308,State your name for the Council.,torontofantasy.6.102080,T,semantic,torontofantasy.6.102080,com,,,,0.7603854881788851
308,pilot3sessM.0309,"Like an idiot, I'd believed her.",torontofantasy.6.326616,T,semantic,torontofantasy.6.326616,,,,,0.783669538617758
309,pilot3sessM.0310,Remember the sound of his voice.,torontofantasy.6.104352,T,semantic,torontofantasy.6.104352,com,,,,0.7448047372660392
310,pilot3sessM.0311,Sugar would help restore our energy.,torontofantasy.6.094311,T,semantic,torontofantasy.6.094311,,,,,0.7586905514424617
311,pilot3sessM.0312,He felt his stomach for blood.,torontofantasy.6.232265,T,semantic,torontofantasy.6.232265,,,,,0.7588934020427
312,pilot3sessM.0313,I certainly wouldn't wear dress pants.,torontofantasy.6.400488,T,semantic,torontofantasy.6.400488,,,,,0.7649509506196647
313,pilot3sessM.0314,Recognize your picture from the paper.,torontofantasy.6.072091,T,semantic,torontofantasy.6.072091,NAS,,,,0.7712233427944627
314,pilot3sessM.0315,Great water pressure in those pipes.,torontofantasy.6.314112,T,semantic,torontofantasy.6.314112,NAS,,,,0.7581805988864603
315,pilot3sessM.0316,Geometric theory applied to puzzle making?,torontofantasy.6.232581,T,semantic,torontofantasy.6.232581,NAS,Q,,,0.7498935743336074
316,pilot3sessM.0317,"His cell was functional, if unoriginal.",torontofantasy.6.201291,T,semantic,torontofantasy.6.201291,,,,,0.752645047936277
317,pilot3sessM.0318,From northern waste to southern hill.,torontofantasy.6.157829,T,semantic,torontofantasy.6.157829,NAS,,,1.0,0.7875610412075057
318,pilot3sessM.0319,They never caused me any harm.,torontofantasy.6.072103,T,semantic,torontofantasy.6.072103,,,,,0.7299855152740419
319,pilot3sessM.0320,Do you worship at their temple?,torontofantasy.6.458953,T,semantic,torontofantasy.6.458953,Q,,,,0.7845467674819732
320,pilot3sessM.0321,They definitely had a close relationship.,torontofantasy.6.376919,T,semantic,torontofantasy.6.376919,,,,,0.7392408192456119
321,pilot3sessM.0322,A tree covered with red berries.,torontofantasy.6.173307,T,semantic,torontofantasy.6.173307,NAS,NP,,,0.778301010715452
322,pilot3sessM.0323,From some historian his father met.,torontofantasy.6.026944,T,semantic,torontofantasy.6.026944,NAS,,,,0.7827935222151687
323,pilot3sessM.0324,Her safety is of utmost importance.,torontofantasy.6.006530,T,semantic,torontofantasy.6.006530,,,,,0.7282312441177017
324,pilot3sessM.0325,Vegetable soup and a turkey sandwich.,torontofantasy.6.384704,T,semantic,torontofantasy.6.384704,NAS,NP,,,0.797596839439394
325,pilot3sessM.0326,But nothing like those stomach cramps.,torontofantasy.6.052738,T,semantic,torontofantasy.6.052738,NAS,,,,0.7803802879531494
326,pilot3sessM.0327,A creature both demon and beast.,torontofantasy.6.136104,T,semantic,torontofantasy.6.136104,NAS,NP,,,0.7645743272723381
327,pilot3sessM.0328,It wouldn't be any fun otherwise.,torontofantasy.6.250539,T,semantic,torontofantasy.6.250539,,,,,0.7338917909563002
328,pilot3sessM.0329,Bright lights shining in my eyes.,torontofantasy.6.278745,T,semantic,torontofantasy.6.278745,NAS,NP,,,0.7586505560386675
329,pilot3sessM.0330,She suffered from degenerative kidney disease.,torontofantasy.6.279405,T,semantic,torontofantasy.6.279405,,,,,0.801985841080894
330,pilot3sessM.0331,"My price, however, was much higher.",torontofantasy.6.414874,T,semantic,torontofantasy.6.414874,,,,,0.7504328358421453
331,pilot3sessM.0332,But I may be incredibly ill-advised.,torontofantasy.6.127745,T,semantic,torontofantasy.6.127745,,,,,0.7548456090164953
332,pilot3sessM.0333,"No chemical odor, merely salt water.",torontofantasy.6.232444,T,semantic,torontofantasy.6.232444,NAS,,,,0.7562372995000116
333,pilot3sessM.0334,It was a breaking news report.,torontofantasy.6.037520,T,semantic,torontofantasy.6.037520,,,,,0.7551437017679171
334,pilot3sessM.0335,They pay good money for it.,torontofantasy.6.284147,T,semantic,torontofantasy.6.284147,,,,,0.7519003938495676
335,pilot3sessM.0336,He put the car in gear.,torontofantasy.6.370507,T,semantic,torontofantasy.6.370507,,,,,0.7691669197476451
336,pilot3sessM.0337,Wearing jeans and a black coat.,torontofantasy.6.398263,T,semantic,torontofantasy.6.398263,NAS,,,,0.7840179544776228
337,pilot3sessM.0338,Thin metal lock-picking tools lay inside.,torontofantasy.6.355283,T,semantic,torontofantasy.6.355283,,,,,0.7644233514498371
338,pilot3sessM.0339,"Oh, and an amusing little monkey.",torontofantasy.6.120081,T,semantic,torontofantasy.6.120081,NAS,,,,0.7938659444767029
339,pilot3sessM.0340,It would only delay the inevitable.,torontofantasy.6.339005,T,semantic,torontofantasy.6.339005,,,,,0.7371253549106013
340,pilot3sessM.0341,The glass in the frame broke.,torontofantasy.6.000749,T,semantic,torontofantasy.6.000749,,,,,0.7664908930351237
341,pilot3sessM.0342,Pull the pin and throw it!,torontofantasy.6.439296,T,semantic,torontofantasy.6.439296,com,,,,0.7588939227278827
342,pilot3sessM.0343,"Another mourner, another well-wisher, another liar.",torontofantasy.6.473039,T,semantic,torontofantasy.6.473039,NAS,NP,,,0.7867725685172559
343,pilot3sessM.0344,Thou shalt not accede to evil.,torontofantasy.6.083765,T,semantic,torontofantasy.6.083765,com,,,,0.7677436391270582
344,pilot3sessM.0345,"One tug, and he went flying.",torontofantasy.6.333854,T,semantic,torontofantasy.6.333854,,,,,0.7644198396372798
345,pilot3sessM.0346,She was beauty and gentleness personified.,torontofantasy.6.227067,T,semantic,torontofantasy.6.227067,,,,,0.7696754034801224
346,pilot3sessM.0347,Hotel is just around the corner.,torontofantasy.6.114035,T,semantic,torontofantasy.6.114035,,,,,0.7638886451286213
347,pilot3sessM.0348,Understand the meaning of the word.,torontofantasy.6.466520,T,semantic,torontofantasy.6.466520,NAS,,,,0.7531479470384649
348,pilot3sessM.0349,Let's hope the best team wins.,torontofantasy.6.226073,T,semantic,torontofantasy.6.226073,com,,,,0.7672845597096253
349,pilot3sessM.0350,They need access to our computers.,torontofantasy.6.420561,T,semantic,torontofantasy.6.420561,,,,,0.7508999356732201
350,pilot3sessM.0351,Do not betray me in this.,torontofantasy.6.231689,T,semantic,torontofantasy.6.231689,com,,,,0.7737313147892948
351,pilot3sessM.0352,"And she smiled, a little nervously.",torontofantasy.6.125012,T,semantic,torontofantasy.6.125012,,,,,0.7516953629460073
352,pilot3sessM.0353,How can they just expel you?,torontofantasy.6.300930,T,semantic,torontofantasy.6.300930,Q,,,,0.7519959998484539
353,pilot3sessM.0354,"And with your arrogance, it seems.",torontofantasy.6.196887,T,semantic,torontofantasy.6.196887,NAS,,,,0.7531315212658013
354,pilot3sessM.0355,We have to go single file.,torontofantasy.6.471614,T,semantic,torontofantasy.6.471614,,,,,0.7517751453908209
355,pilot3sessM.0356,He sneered contemptuously at the Daimons.,torontofantasy.6.216148,T,semantic,torontofantasy.6.216148,,,,,0.7900314002311776
356,pilot3sessM.0357,"Cod, orange roughy, salmon, and tuna.",torontomyst.6.058131,T,semantic,torontomyst.6.058131,NAS,NP,,,0.8249963354339984
357,pilot3sessM.0358,"Precious, beautiful, worth seeking the best.",torontomyst.6.158471,T,semantic,torontomyst.6.158471,NAS,,,,0.7571772169784743
358,pilot3sessM.0359,"Sparrows and pigeons, no other birds.",torontomyst.6.044552,T,semantic,torontomyst.6.044552,NAS,,,,0.793702702073832
359,pilot3sessM.0360,Their hearts beat in rhythm together.,torontomyst.6.099594,T,semantic,torontomyst.6.099594,,,,,0.7693115051881806
360,pilot3sessM.0361,"General personality: Generous, conscientious, amiable, loyal.",torontomyst.6.008815,T,semantic,torontomyst.6.008815,NAS,,,,0.7449788795040835
361,pilot3sessM.0362,"This is really amazing, Doctor Face-reader.",torontomyst.6.036019,T,semantic,torontomyst.6.036019,,,,,0.7847150050468583
362,pilot3sessM.0363,Possibly the bacteria that causes plague.,torontomyst.6.105912,T,semantic,torontomyst.6.105912,NAS,,,,0.765596957593735
363,pilot3sessM.0364,That had a bitter almond scent.,torontomyst.6.130951,T,semantic,torontomyst.6.130951,NAS,,,,0.7628118467490986
364,pilot3sessM.0365,Quintessential sound of a peaceful night.,torontomyst.6.141570,T,semantic,torontomyst.6.141570,NAS,NP,,,0.7377817740030964
365,pilot3sessM.0366,The large restaurant was cafeteria style.,torontomyst.6.007851,T,semantic,torontomyst.6.007851,,,,,0.7718803365032384
366,pilot3sessM.0367,"They put us in jail, Johnny!",torontomyst.6.041578,T,semantic,torontomyst.6.041578,,,,,0.7771460247841846
367,pilot3sessM.0368,You need me to protect you.,torontomyst.6.091004,T,semantic,torontomyst.6.091004,,,,,0.7298760696196532
368,pilot3sessM.0369,He was cruel and scary and-,torontomyst.6.103861,T,semantic,torontomyst.6.103861,,,,,0.7624094050315996
369,pilot3sessM.0370,"I made some silly assumptions, though.",torontomyst.6.034053,T,semantic,torontomyst.6.034053,,,,,0.7505844147179032
370,pilot3sessM.0371,She collapsed onto the comfortable bed.,torontomyst.6.100938,T,semantic,torontomyst.6.100938,,,,,0.7454249248386008
371,pilot3sessM.0372,It's quite apparent we have problems.,torontomyst.6.105097,T,semantic,torontomyst.6.105097,,,,,0.7302895376232984
372,pilot3sessM.0373,Does he have a name badge?,torontomyst.6.019381,T,semantic,torontomyst.6.019381,Q,,,,0.7730277973947338
373,pilot3sessM.0374,An escalating excitement hurried her words.,torontomyst.6.123457,T,semantic,torontomyst.6.123457,,,,,0.7440715092104705
374,pilot3sessM.0375,"Nothing broken, just very badly bruised.",torontomyst.6.174897,T,semantic,torontomyst.6.174897,NAS,,,,0.7372197202774619
375,pilot3sessM.0376,"But he had a dog, yeah?",torontomyst.6.175890,T,semantic,torontomyst.6.175890,Q,,,,0.7745053000298195
376,pilot3sessM.0377,"Dirty, smelly clothes littered the floor.",torontomyst.6.057307,T,semantic,torontomyst.6.057307,,,,,0.7746232091023105
377,pilot3sessM.0378,Central Park was across the roadway.,torontomyst.6.090244,T,semantic,torontomyst.6.090244,,,,,0.7563465051602156
378,pilot3sessM.0379,The homeless woman obviously loved animals.,torontomyst.6.060138,T,semantic,torontomyst.6.060138,,,,,0.7666051466209677
379,pilot3sessM.0380,"The bag was leather, black, small.",torontomyst.6.026333,T,semantic,torontomyst.6.026333,,,,,0.7826992599597178
380,pilot3sessM.0381,Like a late night comedy sketch.,torontomyst.6.002407,T,semantic,torontomyst.6.002407,NAS,,,,0.7796255993631315
381,pilot3sessM.0382,"The healthiest, most nutritious food ever.",torontomyst.6.029278,T,semantic,torontomyst.6.029278,NAS,NP,,,0.7556576207576572
382,pilot3sessM.0383,"Will you drink to that, boys?",torontomyst.6.175931,T,semantic,torontomyst.6.175931,Q,,,,0.7649801603780256
383,pilot3sessM.0384,"At least three, maybe four kids.",torontomyst.6.110704,T,semantic,torontomyst.6.110704,NAS,,,,0.7712181056081476
384,pilot3sessM.0385,That marriage ultimately ends in divorce?,torontomyst.6.010733,T,semantic,torontomyst.6.010733,Q,,,,0.7818893973045089
385,pilot3sessM.0386,That kind of understanding and kindness...,torontomyst.6.170415,T,semantic,torontomyst.6.170415,NAS,NP,,,0.7362958036852171
386,pilot3sessM.0387,Why go and stir that pot?,torontomyst.6.139122,T,semantic,torontomyst.6.139122,Q,,,,0.7820014867846724
387,pilot3sessM.0388,"Quite simply, it was becoming tiresome.",torontomyst.6.088378,T,semantic,torontomyst.6.088378,,,,,0.7267706311868797
388,pilot3sessM.0389,I'll show you my new dance.,torontomyst.6.143537,T,semantic,torontomyst.6.143537,,,,,0.7635600905451022
389,pilot3sessM.0390,Something that awakened my psychic knowing.,torontomyst.6.120690,T,semantic,torontomyst.6.120690,NAS,NP,,,0.7530191948175816
390,pilot3sessM.0391,The protracted silence became almost unbearable.,torontomyst.6.143147,T,semantic,torontomyst.6.143147,,,,,0.7467042850241984
391,pilot3sessM.0392,With charming conversations and witty sparring.,torontomyst.6.098664,T,semantic,torontomyst.6.098664,NAS,,,,0.7528178083853462
392,pilot3sessM.0393,"Not just physically but intellectually, emotionally.",torontomyst.6.047541,T,semantic,torontomyst.6.047541,NAS,,,,0.7154181317469789
393,pilot3sessM.0394,Fleas infected with plague literally starve.,torontomyst.6.105909,T,semantic,torontomyst.6.105909,,,,,0.7893815489077705
394,pilot3sessM.0395,And stitches all over the place.,torontomyst.6.041673,T,semantic,torontomyst.6.041673,NAS,,,,0.7674893234837512
395,pilot3sessM.0396,"In fact, he looked downright uncomfortable.",torontomyst.6.085923,T,semantic,torontomyst.6.085923,,,,,0.7422462665433903
396,pilot3sessM.0397,Violent moons around a dead planet.,torontomyst.6.137509,T,semantic,torontomyst.6.137509,NAS,NP,,,0.7781129872445391
397,pilot3sessM.0398,"I was so embarrassed, so ashamed.",torontomyst.6.119205,T,semantic,torontomyst.6.119205,,,,,0.738720444463744
398,pilot3sessM.0399,I needed to test your methodology.,torontomyst.6.010285,T,semantic,torontomyst.6.010285,,,,,0.7468230322965542
399,pilot3sessM.0400,We went hiking at Bear Mountain.,torontomyst.6.100642,T,semantic,torontomyst.6.100642,,,,,0.7858570810622304
400,pilot3sessM.0401,Wild horses couldn't keep me away.,torontomyst.6.097567,T,semantic,torontomyst.6.097567,,,,,0.7471187552719211
401,pilot3sessM.0402,They fled Russia after the revolution.,torontomyst.6.095910,T,semantic,torontomyst.6.095910,,,,,0.7700281452743775
402,pilot3sessM.0403,Were narrow field stones set perpendicular?,torontomyst.6.058072,T,semantic,torontomyst.6.058072,NAS,Q,,1.0,0.739640734073253
403,pilot3sessM.0404,Could a spark explode the fuel?,torontomyst.6.063342,T,semantic,torontomyst.6.063342,Q,,,,0.7467687736518562
