sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
"AW: Written things, OK, like testimonials?",0.7890057385611434,,,aw,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03261155
Cyprus Minerals World Headquarters. design build.,0.7926189421383713,,headquarters,cyprus,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00717578
Theyre found in Papua New Guinea.,0.8076413429315538,,,guinea,cocaspok2009.6.005795,cocaspok2009.0073983
Her unborn son died as well.,0.8033115527545379,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00150657
Highlights from my trip to Tokyo!,0.7856221939918754,,,tokyo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04493115
Where is Commander Jameson shooting from?,0.7918889841485907,,,jameson,torontofantasy.6.475163,torontofantasy.6176589
Lets go to Jackie in Ohio.,0.7923096626576368,,,ohio,cocaspok2006.6.004940,cocaspok2006.0079563
The Wiktor Television Academy awarded Prof.,0.7934564573110143,,,prof,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02436453
"I had really fat, chubby cheeks.",0.7866408817601259,,,chubby,cocaspok2003.6.007670,cocaspok2003.0111685
Texas to Secede from the Union?,0.7998432595499794,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03286879
This guy loves my back yard.,0.793219772524989,,,guy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04754887
GranTurismo guy and TheCracker like this.,0.8008573544348752,,,guy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03547582
HTML convert time to 0.264 sec.,0.7838295462343278,,,sec,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04830478
"Let's go next to Tulsa, Oklahoma.",0.7893551627273526,,,tulsa,cocaspok1999.6.011075,cocaspok1999.0147909
"Do you believe it's true, Sebastian?",0.7809959167692124,,,true,cornellmov.6.005591,cornellmov.0031824
Ohio State senior point guard C.J.,0.7818100460944758,,,ohio,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00000023
Do men really care about lingerie?,0.790171293878744,,,lingerie,cocaspok2010.6.001298,cocaspok2010.0016854
Barbara Bush got rid of Sununu.,0.7823620621071933,,,barbara,cocaspok1993.6.001197,cocaspok1993.0017689
"Alexander Eidenier, Alvordton, Ohio, speed, 130.",0.8015883828136214,,,ohio,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03996174
"I'm still in the chair, Lieutenant.",0.7875185376674848,still,,lieutenant,cornellmov.6.005300,cornellmov.0029991
"Add salt and chili powder, stirring.",0.7882892877580701,,,chili,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04311397
Scarlet wrenched her lips from his.,0.7867699709124757,,,lips,torontofantasy.6.272556,torontofantasy.3576110
"London: Pluto Books, 2012, chap. 3.",0.8229936530935945,,,"london,pluto",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02638033
The guy sat in my office!,0.7894392701863536,,,guy,cornellmov.6.035377,cornellmov.0215873
"Kirk Siegler, NPR News, Cairo, Ill.",0.8042983123195796,,,cairo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02506072
"Montgomery, why do they call you""Flea""?",0.7820245827462606,,,montgomery,cornellmov.6.001681,cornellmov.0009204
Seth wouldn't stop saying her name.,0.7813659587603424,,,seth,torontofantasy.6.331289,torontofantasy.4334305
"You know, the green cardigan guy.",0.782166829424241,,,guy,cornellmov.6.001875,cornellmov.0010361
"Allen Chernoff live from Biloxi, Mississippi.",0.8305655672604165,,,mississippi,cocaspok2005.6.004082,cocaspok2005.0065477
Blood oozes up between his lips.,0.7856654957789786,,,lips,torontofantasy.6.330667,torontofantasy.4320774
Jesse drew away leaving Mily behind.,0.7812457360925862,,,jesse,torontofantasy.6.032457,torontofantasy.472464
Lucas's thick black eyebrows knitted together.,0.8020575490200983,,,eyebrows,torontofantasy.6.345740,torontofantasy.4544753
It's like that true love thing.,0.7840694582112566,,,true,cocaspok1997.6.001628,cocaspok1997.0019579
My son hardly knew Mrs. Gillis.,0.7933307161412052,,,son,torontomyst.6.001840,torontomyst.26768
I'm a detective in Hong Kong.,0.7984922475451507,,,kong,cornellmov.6.036304,cornellmov.0222117
The chipotle chile was too subdued.,0.7809914261801708,,,chile,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02505931
Okra contains a lot of oxalates.,0.7845187223216731,,,okra,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03602573
"Another son, Hugo, was Laila's grandfather.",0.7944255997680914,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04890155
Sheila MacVicar in London this morning.,0.8000511768091808,,,london,cocaspok2009.6.008118,cocaspok2009.0104584
But I do love Emily Dickinson.,0.7874947194028706,,,emily,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03589139
"Aw, Tommy, c'mon, it ain't that.",0.8135800002718774,,,aw,cornellmov.6.004548,cornellmov.0025669
"John Gates, 15 June 1832, 65years.",0.8388756078020392,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01802125
(She's played attractively by Lynn Redgrave.),0.786848844409849,played,,lynn,wsj.6.002635,wsj.477725
"This guy, this guy right here.",0.785922417924945,,,"guy,guy",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02019769
Brian Friel; edited by Peter Fallon.,0.8197042395156044,,,brian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02011062
Stamping Tink: September Pencil Class - Flowers!,0.8091588913248332,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01636399
I never called Dale an idiot.,0.7855398681514374,,,"dale,an",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01777332
Edward Turner is born in London.,0.8063669991908924,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03492484
"RSVP date of Friday, May 11th!",0.7972590212276524,,date,rsvp,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02865270
"Ross Perot, Texas billionaire, corporate gadfly.",0.8355063334462304,,corporate,"texas,billionaire",cocaspok1991.6.003481,cocaspok1991.0051783
Stories like that of Colleen Negrin.,0.7843015603790703,,,colleen,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03218614
"Lieutenant Saavik, you are in charge.",0.7804810981038672,,,lieutenant,cornellmov.6.024367,cornellmov.0145552
Shampoo for little abundant natural hair.,0.7821962778573823,,hair,shampoo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02594873
My son would love this game!,0.7858055462617752,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03325535
That's a really cute blue jay.,0.7934114252586393,,,cute,cocaspok1998.6.009025,cocaspok1998.0118644
Whoa super long train track Olive.,0.8039154184795371,,,olive,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01303923
"This, beautiful, beautiful Mississippi brownie thing.",0.7904549150915048,,,mississippi,cocaspok2000.6.007643,cocaspok2000.0120340
Apparently even Madonna owns an Andraab.,0.7861776870007618,,,"madonna,an",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03558016
Fourteen movie theaters under one roof.,0.7850698627424957,,,fourteen,cornellmov.6.016509,cornellmov.0094663
Tessie's in mothballs for the winter.,0.7913630883737037,,,mothballs,torontofantasy.6.093837,torontofantasy.1372888
"Is Bruja a Portuguese name, though?",0.7876214227013395,,,portuguese,torontofantasy.6.478392,torontofantasy.6221608
This guy was from the Underworld.,0.7926628635559075,,,guy,torontofantasy.6.455759,torontofantasy.5919900
I think he's a sweet guy.,0.779980364126564,,,guy,cornellmov.6.032143,cornellmov.0195412
The witch licked her black lips.,0.7990650476098242,,,lips,torontofantasy.6.306704,torontofantasy.4021107
He's a guy named Tom Phillips.,0.7995907043264096,,,guy,cocaspok1996.6.005095,cocaspok1996.0063873
"Florence, Italy - for Tony Curtis - hello.",0.8172667334178056,,,italy,cocaspok1991.6.002720,cocaspok1991.0042823
"Tubs, cartons, soap pumps, shampoo bottles.",0.8155625707242923,,,shampoo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02130905
"We scared the rascal off, son.",0.7814050269667172,,,son,cornellmov.6.035976,cornellmov.0219698
"Birthday: June 18, 1966 Salinas P.R.",0.853996387854087,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00210665
"Free ads Trieste, Italy without registration.",0.8021950699084323,free,,italy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02890550
Baby broccoli grows on old plants.,0.8064094498375677,,,broccoli,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03224325
Second in the Genevieve Lenard Series.,0.7851860738087995,,,genevieve,torontomyst.6.036199,torontomyst.512255
That is next in rap sheet.,0.7864578113276197,,,rap,cocaspok2006.6.002803,cocaspok2006.0047824
"Wow Namratha, what a cute cake.",0.8032459846267836,,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02072340
Guy Perkins and his amazing Lemmings.,0.7872398872006597,amazing,,guy,cornellmov.6.034813,cornellmov.0212437
Seth hefted a coarse brown sack.,0.7888387029112783,,,seth,torontofantasy.6.320430,torontofantasy.4204869
That's cuckoo; it's nuts; it's broke.,0.807243489206609,,,cuckoo,cocaspok1991.6.004017,cocaspok1991.0061472
I'll send Mendigo to fetch Dale.,0.7806474677360146,,,dale,torontofantasy.6.320641,torontofantasy.4207336
Then place egg salad on top.,0.7833075533681075,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03654109
My son is 16 years old.,0.8092302659178708,,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02380073
And we don't live in Manhattan.,0.7874056509808326,,,manhattan,cornellmov.6.037340,cornellmov.0228714
"I'm Forrest Sawyer in Amman, Jordan.",0.8111721157679228,,jordan,sawyer,cocaspok1990.6.006616,cocaspok1990.0117698
"Dear Child: No, I do not.",0.779911464408663,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03661546
Courtesy of Philadelphia Photo Arts Center.,0.7899611040634112,,,philadelphia,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02682970
"God bless Alaska, God bless America.",0.8030969627679184,,,alaska,cocaspok2009.6.006282,cocaspok2009.0079853
Jesse James never yelled at folk...,0.7960047953906223,,,jesse,cornellmov.6.016274,cornellmov.0093199
Watch this little forklift training video.,0.7884038811507498,,,forklift,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00205792
Raghav Mathur At London Mela 2015.,0.8297017930128123,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02067329
We had tilapia and broccoli tonight!,0.7826591945879094,,,broccoli,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03804440
Ari was alone with the Lieutenant.,0.7858665310741387,,,lieutenant,torontofantasy.6.145869,torontofantasy.1980785
"Goddammit, where are you from, Mars?",0.8045714323592442,,,mars,cornellmov.6.007605,cornellmov.0043407
Pouring Barbra Streisand tea in London.,0.814164598261002,,,london,cocaspok2009.6.008215,cocaspok2009.0105856
"And from Quitman, Texas, "" It's funny.",0.8140840958389249,,,texas,cocaspok2003.6.003304,cocaspok2003.0056512
"Johnson, Fats Waller and Duke Ellington.",0.8146370329303371,,,fats,cocaspok2001.6.005886,cocaspok2001.0091779
But Jasmine and Sheridan didn't smoke.,0.7929264869272101,,,jasmine,torontomyst.6.149679,torontomyst.1927524
I need some female vagina tonight.,0.7918902475299839,,,vagina,cornellmov.6.020708,cornellmov.0121529
"By Mallory Craig, Director of Clock.",0.7800679768923886,,,mallory,torontomyst.6.105391,torontomyst.1395587
Free worksheets visual art vocabulary worksheets.,0.7885408677510174,free,,vocabulary,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00062809
"Montgomery III, one brother, Jessie Lauderdale.",0.8046231184365292,,,montgomery,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00570894
"Treurs and Verhoefs Say Goodbye, California!",0.8049861769830999,,,goodbye,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04904460
NAS: and Christ Jesus our Savior.,0.7957358927405617,,,christ,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02195607
The Alumni Fund Report in September.,0.8032259467756427,,,september,brown.6.000600,brown.010416
"Written by Alaska Expert, Judy Appel.",0.7995529860545556,,,alaska,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04916824
"Year certified: 2011. Location: Denver, CO.",0.8240480463877118,,,denver,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02262418
May 4th: Left Folkestone for France.,0.8001604479347132,,left,france,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01520829
"Redheaded guy from the house, Tadeo?",0.8095181746105186,,,guy,torontomyst.6.175252,torontomyst.2228018
"Working paper series, 8904. Manila: PIDS.",0.7915948615708736,,,manila,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02291885
Lizzy sat next to her son..,0.7914717367891658,,,son,torontofantasy.6.429451,torontofantasy.5664692
"Grand draw on September 4th, 2019.",0.8092805841917419,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02170441
Cape Wind White Brand Logo Font?,0.7860266406719479,,,font,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03227643
"Ah, good evening, my dear Duroc.",0.7994496356565396,,,dear,cornellmov.6.022146,cornellmov.0130870
Currency information from Yahoo! 7 Finance.,0.8025340757139152,,,yahoo,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01474412
"That's why you're in trouble, guy.",0.7833894426997757,,,guy,torontoadv.6.050160,torontoadv.847775
Let's go to Jessica in Denver.,0.7964900033995933,,,denver,cocaspok2007.6.005194,cocaspok2007.0070008
"Breaking news tonight, live, Philadelphia suburbs.",0.7915558582925103,,,philadelphia,cocaspok2011.6.001812,cocaspok2011.0022168
"We're not in the showroom, Dear.",0.7835698798764544,,,dear,cornellmov.6.001333,cornellmov.0007361
Barbara was bleeding and in pain.,0.7801885528105666,,,barbara,cocaspok1999.6.005001,cocaspok1999.0068036
Naomi laughed and hugged her dog.,0.7825828956752483,,,naomi,torontofantasy.6.192438,torontofantasy.2612352
Bourbon Street ain't ever this dark.,0.7808627276770516,,,bourbon,torontofantasy.6.231150,torontofantasy.3085023
Probably the last true Southern socialite.,0.7801598713031314,last,,true,torontofantasy.6.342014,torontofantasy.4503578
"Oh, yeah... yeah... it's a hellhole.",0.8230921862356962,,,hellhole,cornellmov.6.003738,cornellmov.0020992
It's a love song about Peru.,0.7949824071922454,,,peru,cocaspok1996.6.004526,cocaspok1996.0055989
Is this guy an illegal alien?,0.7812446469993581,,,"guy,an",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03984040
Don't you love my sexy body?!,0.7882943578975623,,,sexy,cornellmov.6.006488,cornellmov.0037126
This is like Edgar Allen Poe.,0.8014858110537145,,,poe,wsj.6.000649,wsj.121006
San Diego Hysterical Society home page.,0.7982866377901964,,,diego,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02983551
"Olive oil, kids love olive oil.",0.8157963301338412,,,"olive,olive",cocaspok2008.6.001191,cocaspok2008.0015696
The drug made Alcander's lips tingle.,0.7830278177934018,,,lips,torontofantasy.6.019396,torontofantasy.283023
Jesse Dittley kicked in the door.,0.786835013085104,,,jesse,torontofantasy.6.369831,torontofantasy.4838344
Registration closes Friday 17th June. 2016.,0.8297699789400367,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01638126
"Street, JStreet, Brian Strong, GStrubell, M.",0.78805216305123,strong,,brian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00118850
Oliver married a woman from Texas.,0.8061291093758115,,oliver,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02628932
Jesse Fisher is a master craftsman.,0.7873758486646101,,,jesse,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03030550
I didn't care about AIDS anywhere.,0.7905884495508357,,,aids,cocaspok2007.6.011111,cocaspok2007.0139089
Let's say you're traveling to Tokyo.,0.7815970573195077,,,tokyo,cocaspok2003.6.004815,cocaspok2003.0076989
Kendra saw no sign of Seth.,0.7830246919181952,sign,,seth,torontofantasy.6.321449,torontofantasy.4216347
"Original Air Date: September 20, 2008.",0.8370365567221351,,date,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04112921
And some hotshot SAC from Nevada.,0.8057408681425345,,hotshot,nevada,torontomyst.6.091979,torontomyst.1231082
Depot block renovation legs silver butcher.,0.7899026793653016,,,depot,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00701260
"Wife of Edward, the king's son?",0.7868562798504553,,,son,cornellmov.6.001030,cornellmov.0005675
"Laura Sydell, NPR News, San Francisco.",0.8143214954080785,,,francisco,cocaspok2003.6.000107,cocaspok2003.0003168
"Mark Strassmann, CBS News, Philadelphia Mississippi.",0.8150778956294165,,mark,"philadelphia,mississippi",cocaspok2005.6.006091,cocaspok2005.0095767
"Seth Doane, CBS News, New York.",0.8260598549297881,,,seth,cocaspok2010.6.007854,cocaspok2010.0102470
Want more farm fresh egg recipes?,0.7853114705436174,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02740321
Start booking Simian Mobile Disco now!,0.7917187238504741,,,disco,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00819095
A real Hong Kong night club.,0.7950303450211296,real,,kong,cornellmov.6.036319,cornellmov.0222215
"In the early 1970s, when Prof.",0.7928942272752545,,,prof,wsj.6.002801,wsj.509118
"Durr is based near Stuttgart, Germany.",0.8024913967983922,,,germany,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00845289
"It says, "" Read his hips. "" Cute.",0.7901966331055283,,,cute,cocaspok1992.6.002390,cocaspok1992.0031925
I'm sorry Naomi couldn't make it.,0.7836253278884449,,,naomi,cornellmov.6.017843,cornellmov.0103312
Additional information: Son of Mrs. E.,0.791074553150294,additional,,son,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01271336
"At the "" Guardian "" newspaper in London.",0.7922710009598881,,,london,cocaspok2006.6.008912,cocaspok2006.0136636
"Lets build a chili dog, Harry.",0.7849585090731824,,,chili,cocaspok2010.6.004404,cocaspok2010.0056626
"I mean, I live in Texas.",0.790456868685959,,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02431119
He's a San Francisco private eye.,0.791826840533045,,,francisco,cornellmov.6.035586,cornellmov.0217101
Alaska banned wolf hunting by airplanes.,0.7962211786251543,,,alaska,wsj.6.000593,wsj.109203
"B. 14 SEP 1687 Lynn, Mass.",0.8285204643437448,,,lynn,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04704210
White Irishmen didn't court Portuguese women.,0.8084974014463104,,,portuguese,torontofantasy.6.228268,torontofantasy.3047621
"Ah, everybody screws up some, Brian.",0.7805894478559812,,,brian,cornellmov.6.016547,cornellmov.0094874
I think I know my son.,0.7818392686068348,,,son,cornellmov.6.004622,cornellmov.0026045
Abby stiffened at his sharp tone.,0.7807371411755266,sharp,,abby,torontofantasy.6.304279,torontofantasy.3984688
The Challenge starts on June 6th!,0.7821831607069831,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00586998
"Such cruel, cruel words, Andrus dear.",0.7796737763152874,such,,dear,torontofantasy.6.282039,torontofantasy.3675634
That's cellular telenetworking in a nutshell.,0.7914599025656276,,,cellular,wsj.6.000845,wsj.154597
"Barbara Church, and a silver mine.",0.7808804451014453,,church,barbara,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00736747
I only trust Marie France Bodyline.,0.7906502717569199,,,france,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00795381
"TS: Yes, I think that's true.",0.791071581851568,,,true,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00767323
"New Europe, new NATO, new Russia.",0.8171275800299288,,,nato,cocaspok1994.6.008207,cocaspok1994.0115427
"Boy, sweetie, this is weird, okay.",0.7995204832901441,,,sweetie,cornellmov.6.006121,cornellmov.0034751
Kaku Highballs are only 300 yen!,0.7933411636249752,,,yen,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00312612
They got great chili in here.,0.7822694915580405,,,chili,torontoadv.6.059626,torontoadv.990258
"Don't go reading my lips, man.",0.7841210548387637,,,lips,cornellmov.6.021793,cornellmov.0128453
"Brian Rooney, ABC News, San Francisco.",0.8217815899207603,,,"brian,francisco",cocaspok1991.6.001326,cocaspok1991.0022545
Today I was a lima bean.,0.7815702542634861,,,lima,cocaspok2003.6.001616,cocaspok2003.0030169
"Seth looked around, then at Kele.",0.7962117416367066,,,seth,torontomyst.6.051037,torontomyst.716208
Exclusiva en farmacia cialis overdose symptoms.,0.8572354236466738,,,cialis,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00801041
"Hin Kong beach, Koh Phangan, Thailand.",0.8216769969643676,,,kong,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01737962
Sage yelled from the other side.,0.7866507085760636,,,sage,torontofantasy.6.114006,torontofantasy.1630592
Beat in egg and vanilla extract.,0.7964552570717395,,,egg,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02558893
"I'll say goodbye to you, Tita.",0.7949077272861281,,,goodbye,cornellmov.6.009308,cornellmov.0053288
Recommended: Dogs on a Pretzel Bun.,0.791192687548362,,,pretzel,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02133990
The man who owns the enchilada.,0.7892356802390322,,,enchilada,torontofantasy.6.217992,torontofantasy.2933742
Albuquerque Isotopes - Reno Aces 4:2 19.04.,0.8347109153586,,,albuquerque,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04901244
"Why did Guy beat you, Jack?",0.7889759007829489,,,guy,cornellmov.6.002753,cornellmov.0015596
London; New York: Thames and Hudson.,0.7967882618824111,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03575621
"Linda Pattillo, ABC News, Arlington, Texas.",0.827398901122939,,,texas,cocaspok1991.6.001524,cocaspok1991.0027050
"Christ Ministry Center, 3295 Meade Ave.",0.8073535622717177,,,christ,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01480646
"London; New York, NY: Greenhill; Skyhorse.",0.8181855633220079,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02331079
Chloe wrapped her arms around Connor.,0.7839278260949794,,,chloe,torontofantasy.6.437847,torontofantasy.5749678
"The ogre lived in Ogreville, Ogreland.",0.8022137055078611,,,ogre,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00401810
Does Olive Oil Work for Tanning?,0.7884892133237242,,,olive,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03701100
Why charter a yacht in Alaska?,0.7846318755726581,,,alaska,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02018937
September is Childhood Cancer Awareness Month.,0.7935824239799493,,,september,cocaspok2010.6.009206,cocaspok2010.0119469
Dress the asparagus tips and reserve.,0.787936572082875,,,asparagus,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04135608
Has 120db True WDR as well.,0.7860185481300669,,,true,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02060324
They didn't do anything in Rwanda.,0.7953726795799442,,,rwanda,cocaspok2005.6.002648,cocaspok2005.0044907
J Educ Eval Health Prof. 2017;14:29.,0.8129459264143051,,,prof,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01826774
Christ loves and died for ALL.,0.7796401297177765,,,christ,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01272388
His name quivers from my lips.,0.7867960560116981,,,lips,torontofantasy.6.289233,torontofantasy.3771995
Rap is the latest musical fad.,0.7875129881966024,,,rap,cocaspok1991.6.006402,cocaspok1991.0110885
"Yang is muscle, Yin is fascia.",0.7990746171731992,,,yin,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00310113
"PAINTING: Swampscott to Lynn, MA Seawall.",0.7948180491402655,,,lynn,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02634260
"He's very handsome, yes, but, sweetie...",0.7865355710645625,,,sweetie,torontofantasy.6.178717,torontofantasy.2434339
There are those Tennessee Titans cheerleaders.,0.7912363441931114,,,tennessee,cocaspok2004.6.007877,cocaspok2004.0116915
We'll go next to San Diego.,0.7938123815767943,,,diego,cocaspok1998.6.010411,cocaspok1998.0141242
Seth Lucio picked up the win.,0.7838897428268222,,,seth,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04147989
"This is Doc from York, Pennsylvania.",0.8136922456591004,,,pennsylvania,cocaspok1993.6.005077,cocaspok1993.0063342
"To Iran, Bosnia, Athens, Istanbul, salute!",0.8099091215154267,,,istanbul,torontofantasy.6.085073,torontofantasy.1260448
"Major Strasser, my aide, Lieutenant Casselle.",0.7994790971335121,,,lieutenant,cornellmov.6.001085,cornellmov.0006005
"Ike Clanton, Old Man's eldest Son.",0.833660947952563,,,son,cornellmov.6.039603,cornellmov.0243618
"VH 101, No. 4, Paris, France.",0.8178925757322028,,,france,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03771120
"Umeo in San Francisco, my hometown.",0.8121300042131091,,,francisco,cocaspok2000.6.000399,cocaspok2000.0009232
Embassy in Italy and the U.S.,0.7965103525780194,,,italy,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00041547
They bicycled through Austria last summer.,0.7914832217497573,last,,austria,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01650505
Tiny soup champagne volunteer personalized denver.,0.795972286135524,,soup,denver,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03123812
"Barak shrugged, hefting a boar spear.",0.795475563575816,,,boar,torontofantasy.6.419251,torontofantasy.5508494
