sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
Select the best suitable company offering.,0.7407731007496935,suitable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00937098
She's kind of afraid of people.,0.7354552845348277,afraid,,,cocaspok1990.6.007033,cocaspok1990.0126080
"Larry, you just take it easy.",0.7423880415409623,easy,,,cornellmov.6.008779,cornellmov.0050333
We are concerned here -- let's focus.,0.7310314431080743,"concerned,focus",,,cocaspok1997.6.008226,cocaspok1997.0096742
"A fascinating pursuit, I assure you.",0.7266541487541227,"fascinating,pursuit",,,brown.6.001061,brown.020725
Are you afraid of growing competition?,0.7294325229531529,afraid,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01499799
But everything is also getting better.,0.7404795863308667,better,,,cornellmov.6.017951,cornellmov.0103867
Thank you for a thoughtful piece.,0.7367341230688086,thoughtful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02087054
Then you'd better start believing me.,0.7408459282658536,better,,,cornellmov.6.001998,cornellmov.0011270
We've been planning to leave soon.,0.7372883695548397,"leave,soon",,,torontofantasy.6.327491,torontofantasy.4280872
Give the best first impression possible.,0.7384636601046518,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00829665
Give her a couple of hours.,0.7315073485043323,give,,,cornellmov.6.029211,cornellmov.0176798
"Then they're not separated, are they?",0.7372029340319299,separated,,,cornellmov.6.012071,cornellmov.0068601
His expression clearly showed his confusion.,0.7335022279688261,expression,,,torontoadv.6.047485,torontoadv.798840
Sort of low to medium heat.,0.7342756112861029,low,,,cocaspok2002.6.006468,cocaspok2002.0098285
I wanted you to be real.,0.7408562858970237,real,,,cornellmov.6.019777,cornellmov.0115744
"For instance, to, too, and two.",0.7418436754594812,instance,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02705189
All manner of organisations and individuals.,0.7182827328547617,manner,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00654267
Unless he'd been afraid they'd know.,0.7329315409908692,afraid,,,torontofantasy.6.101660,torontofantasy.1471134
"Another, better moment would present itself.",0.737447229709492,better,,,torontofantasy.6.244962,torontofantasy.3250020
We should keep our expectations low.,0.7321006251603505,low,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01626703
"To give her some space, but...",0.7417451290538225,give,,,torontofantasy.6.449201,torontofantasy.5839980
For a moment the room spun.,0.7403775535444469,spun,,,torontomyst.6.009114,torontomyst.125516
Give her some of your strength.,0.7353139236066224,"give,strength",,,torontofantasy.6.410970,torontofantasy.5384610
Students must have good communication skills.,0.7409910658390512,must,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02229645
What made you capable of it.,0.7341301918481972,capable,,,cornellmov.6.040459,cornellmov.0249305
"Indeed, nothing worth having comes easy.",0.7329157107423149,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03115754
But Isn't Quick Weight Loss Dangerous?,0.7394171543610069,quick,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02314684
You must have been very proud.,0.7271831566293404,must,,,cornellmov.6.015205,cornellmov.0086658
I could barely focus or function.,0.7334939270968466,focus,,,torontofantasy.6.312367,torontofantasy.4100015
"Still, I had to be careful.",0.7247295465038275,still,,,torontofantasy.6.172204,torontofantasy.2330522
Are you -- you for -- hold on.,0.7325686709266698,hold,,,cocaspok1993.6.003790,cocaspok1993.0049433
His dreams were growing more powerful.,0.7395995385730011,powerful,,,torontofantasy.6.340970,torontofantasy.4491098
I must insist you try some.,0.7346596962171316,must,,,cornellmov.6.016479,cornellmov.0094502
We want to make it better.,0.7385784395817732,better,,,cocaspok2006.6.008827,cocaspok2006.0135524
But you just made strong statements.,0.7344832600085279,"strong,statements",,,cocaspok1990.6.003363,cocaspok1990.0050883
I forced myself to stay seated.,0.728455851461578,forced,,,torontofantasy.6.262082,torontofantasy.3468228
You are very easy to understand.,0.7225946287956425,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02166890
A danger that was nearly tangible.,0.7288863094441203,tangible,,,torontofantasy.6.302818,torontofantasy.3964312
Still there are plenty of critics.,0.7350792178221789,still,,,wsj.6.001328,wsj.243956
Some individuals prefer utilizing thoughts maps.,0.7373512526394875,prefer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00804228
That's already been taken care of.,0.7416983158351798,already,,,cornellmov.6.031419,cornellmov.0190708
"Arrogant, sometimes ruthless people, but still.",0.7346411788839368,"ruthless,still",,,torontofantasy.6.300400,torontofantasy.3937471
There were signs of a struggle.,0.7279469736431907,struggle,,,torontomyst.6.147489,torontomyst.1902458
"It'll give you nightmares,"" he advised.",0.7398992251664879,give,,,torontofantasy.6.347853,torontofantasy.4572412
But still it wasn't nearly enough.,0.7338414651627053,still,,,wsj.6.001648,wsj.301245
I couldn't hold back any longer.,0.7404744473691072,hold,,,torontofantasy.6.284559,torontofantasy.3702658
"I feel his presence, so strong...",0.7355556764011046,"presence,strong",,,cornellmov.6.024522,cornellmov.0146526
They're almost clear but not quite.,0.7231321360802561,almost,,,torontofantasy.6.459851,torontofantasy.5979443
Room always clean! breakfast was good.,0.7378361422244287,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00419778
There were still several familiar faces.,0.7309267645861003,still,,,torontofantasy.6.187906,torontofantasy.2551732
Some have done some remarkable things.,0.7347563399762224,remarkable,,,cocaspok2003.6.004445,cocaspok2003.0070939
Create amazing logos quick and easily.,0.734475970619806,"amazing,quick",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03696776
You still had to prove yourself.,0.7248647311639159,still,,,cornellmov.6.025919,cornellmov.0155477
Such features make dramatic selling points:,0.7340896299334755,such,,,wsj.6.002644,wsj.479456
TIP: Convenient location with easy parking.,0.740049403176814,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00524218
So make it easy for him.,0.7365336664659662,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01457739
They better be ready for me.,0.730964066400794,better,,,torontofantasy.6.363149,torontofantasy.4751957
"A single mind, a single focus.",0.7394759456045698,focus,,,torontomyst.6.047539,torontomyst.667855
Disbelief only better served its purpose.,0.7393855444872971,better,,,torontoadv.6.022294,torontoadv.395853
Allow the battery to recharge overnight.,0.7381576148607017,recharge,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02086783
"Strong wind, freezing rain and snow.",0.7374464873640547,strong,,,cocaspok2011.6.009063,cocaspok2011.0115228
Her desire to escape had fled.,0.7406973300642915,desire,,,torontofantasy.6.188127,torontofantasy.2554804
Have you drawn all your life?,0.7370589784335045,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00032296
Even the beast seemed less afraid.,0.734259025479809,afraid,,,torontofantasy.6.052863,torontofantasy.769064
Five of those are critically wounded.,0.7263439125851375,wounded,,,cocaspok2002.6.004096,cocaspok2002.0064868
Leave me be for a minute?,0.7359182576279343,leave,,,cornellmov.6.025808,cornellmov.0154700
It is round and relatively small.,0.7419272905019801,round,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00463689
Getting to your session is easy.,0.7295630768274756,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03425111
His policies are out of touch.,0.7407177441047103,policies,,,cocaspok2012.6.003493,cocaspok2012.042683
"I'm not afraid of failure, no.",0.7421330294051645,afraid,,,cocaspok2011.6.006075,cocaspok2011.0076762
Had he calculated correctly for once?,0.7391561094793793,correctly,,,torontomyst.6.098967,torontomyst.1312574
The problem is not the teams.,0.7411231692339472,problem,,,cocaspok1996.6.006674,cocaspok1996.0082778
Great success tonight upon first attempt..,0.719725801493464,attempt,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02010395
But still Tom seemed to hesitate.,0.7395202273558059,still,,,torontomyst.6.139655,torontomyst.1809910
The application is easy to use.,0.7365315379314671,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01903559
And we can get even better.,0.7399361146543096,better,,,cornellmov.6.037064,cornellmov.0226935
Shipping was quick and easy too.,0.7381925067785312,"quick,easy",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02503098
"He appeared startled, but seemingly unharmed.",0.7342133180947755,unharmed,,,torontofantasy.6.130370,torontofantasy.1785565
"It was clean, bright and comfortable.",0.7251128924841618,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04640240
It sends its own valuable signal.,0.7393394032154664,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04433165
Because we're almost out of time.,0.7410017464224473,almost,,,cocaspok2006.6.007604,cocaspok2006.0118629
For a moment everything was still.,0.7381383062258923,still,,,torontofantasy.6.045538,torontofantasy.663824
We give you peace of mind.,0.734532780543833,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01642319
Focus on breathing deeply and slowly.,0.7275674452204767,focus,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01272802
Its improper use cannot be tolerated.,0.7297252918424539,improper,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03992143
His eyes were harsh and biting.,0.74214124102821,harsh,,,torontofantasy.6.221613,torontofantasy.2974194
And you'd be correct every time.,0.7298226290761112,every,,,cocaspok1994.6.000833,cocaspok1994.0011324
Every piece of them has power.,0.7336320336924761,every,,,torontofantasy.6.111599,torontofantasy.1603313
The damage might already be done.,0.7320372946398178,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01306639
You still have time to plan.,0.7405393455488277,still,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03651708
The problem must be faced squarely.,0.7319845334660192,"problem,must",,,brown.6.001147,brown.022504
Another manner is to time entries.,0.7355712265128185,manner,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00430395
The last reported wind was calm.,0.73743602259961,last,,,cocaspok2011.6.004318,cocaspok2011.0055041
It must be great being you.,0.7254586861054543,must,,,cornellmov.6.030832,cornellmov.0186949
He came to a sudden halt.,0.7378720536187978,halt,,,torontofantasy.6.091531,torontofantasy.1347071
Will tax cuts generate economic growth?,0.7395979291772887,cuts,,,wsj.6.000506,wsj.093974
"Every word still clear, still sure.",0.7407522812423099,"every,still,still",,,torontofantasy.6.186732,torontofantasy.2534965
We are full of literary people.,0.7378011147190762,full,,,wsj.6.002551,wsj.464077
Possibly the last of his kind.,0.7402787584312307,last,,,torontofantasy.6.020194,torontofantasy.293030
You have to make it last.,0.7423889260547282,last,,,torontofantasy.6.126495,torontofantasy.1742274
We are a very heterogeneous culture.,0.7420217980842664,culture,,,cocaspok1995.6.006701,cocaspok1995.086394
Perhaps something he was searching for.,0.7403702444639828,perhaps,,,torontofantasy.6.152230,torontofantasy.2072037
His focus remained on the fight.,0.7390570923796856,"focus,remained",,,torontofantasy.6.060190,torontofantasy.879574
Economic issues must also be resolved.,0.7245043222516411,must,,,cocaspok2003.6.003284,cocaspok2003.0056281
What is to become of me?,0.7389930148403252,become,,,cornellmov.6.019459,cornellmov.0113746
Many of them have been flawless.,0.721225575986106,flawless,,,cocaspok1992.6.003354,cocaspok1992.0043364
Aren't we full of ourselves today?,0.7312766642417716,full,,,cornellmov.6.018697,cornellmov.0108882
I will be worried about them.,0.7303116300424728,worried,,,cocaspok2003.6.000879,cocaspok2003.0017228
Don't be afraid to be lazy.,0.7311442375950202,afraid,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02438405
But it still had to hurt.,0.7413566665987946,"still,hurt",,,torontoadv.6.044396,torontoadv.756674
I feel very dependent on them.,0.7202541495370608,dependent,,,cocaspok2001.6.005788,cocaspok2001.0089720
Now be careful with that bag.,0.74143997521425,bag,,,cornellmov.6.020406,cornellmov.0119558
It is not a serious proposal.,0.740246628887835,serious,,,cocaspok2011.6.010396,cocaspok2011.0132520
Is such that I was stunned.,0.7407663274937365,such,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01467931
We better get you cleaned up.,0.7332938022044088,better,,,cornellmov.6.023451,cornellmov.0139624
Is this the outcome we desire?,0.7343803237254303,"outcome,desire",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03790853
Perhaps that was what he felt.,0.7413513359246383,perhaps,,,torontoadv.6.004042,torontoadv.73905
A festive reception concluded the afternoon.,0.7387777426273535,reception,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.04003834
You must stand up to him.,0.7321696300025624,must,,,torontofantasy.6.041679,torontofantasy.602978
Have your job duties expanded substantially?,0.7383754755842277,duties,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03043174
Shouldn't we take every possible precaution --?,0.7279930174197353,every,,,cornellmov.6.037836,cornellmov.0231953
Cost effective plans for every business.,0.7377968240436372,every,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03372128
"Well, then, it must be fought.",0.7371813185931688,"must,fought",,,cornellmov.6.031390,cornellmov.0190525
I enjoyed every minute of it.,0.7351324918786147,every,,,cornellmov.6.005639,cornellmov.0032150
Sam's knees threatened to give out.,0.7343618188281555,give,,,torontofantasy.6.420727,torontofantasy.5548548
He was very kind and strong.,0.731692367378291,strong,,,cornellmov.6.016826,cornellmov.0096918
You still have to be involved.,0.7227880401174503,still,,,cocaspok1997.6.004193,cocaspok1997.0049014
"Brand is courageous, thoughtful and wise.",0.7417409812191972,thoughtful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04287423
That phrase denied is so powerful.,0.7414997893282443,powerful,,,cocaspok2009.6.006580,cocaspok2009.0083927
Everyone was so impressed by it.,0.7362124196394801,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.03323174
And you have excellent survival skills.,0.7315331654018545,survival,,,torontomyst.6.152083,torontomyst.1954764
Meaning that you are not certain...?,0.738559595550966,certain,,,torontofantasy.6.465933,torontofantasy.6056568
Perhaps they were not mere savages.,0.7378804121837849,perhaps,,,torontomyst.6.008278,torontomyst.116568
"A small, dimly glowing ball appeared.",0.7423637798143451,glowing,,,torontofantasy.6.058661,torontofantasy.851133
The suspects might be there already.,0.7360750347467113,already,,,cornellmov.6.015567,cornellmov.0088822
And Gerry was definitely physically strong.,0.7300308282745508,strong,,,torontomyst.6.174075,torontomyst.2212696
"But still, you can't be sure.",0.7376228063063458,still,,,cornellmov.6.013729,cornellmov.0077970
"When fully prepared, confidence comes easy.",0.7184103427795018,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01437911
Especially coated to ensure long life.,0.7420375183603715,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03489903
Haven't there been enough casualties already?,0.7303241426891892,already,,,torontofantasy.6.349380,torontofantasy.4590912
"It just makes me weary, somehow.}.",0.7371222274690205,somehow,,,torontofantasy.6.364973,torontofantasy.4768863
Only managed to hurt her more.,0.7345220060767815,hurt,,,torontofantasy.6.261741,torontofantasy.3464485
"For example, just a quick statistic.",0.7404259018146587,quick,,,cocaspok2005.6.003230,cocaspok2005.0053700
We are afraid to touch him!,0.7323316588762973,afraid,,,torontomyst.6.066333,torontomyst.919290
Don't give me any of that.,0.736142919863016,give,,,cornellmov.6.037343,cornellmov.0228726
"Besides, he had to get away.",0.7397345897510643,besides,,,torontoadv.6.005839,torontoadv.100239
Prefer not to break it up.,0.7390330290437861,prefer,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02270159
Anyone else having a similar problem?,0.7375586918205971,problem,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02896193
He'd already tried to crawl once.,0.7392134356923431,already,,,torontofantasy.6.445522,torontofantasy.5813353
"So, stay strong for each other!",0.7340639438643185,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03196123
The Intentional Infliction of Emotional Distress.,0.7378589380422141,intentional,,,cocaspok1993.6.003501,cocaspok1993.0046813
Changing the constitution is not easy.,0.7405801591871551,easy,,,cocaspok2006.6.006879,cocaspok2006.0108241
It was so peaceful for dining.,0.738528697243935,peaceful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00580774
But you see a continuing problem.,0.7418895458198373,problem,,,cocaspok2010.6.012541,cocaspok2010.0162204
It was a somewhat startling feeling.,0.7199189605520407,somewhat,,,torontofantasy.6.097353,torontofantasy.1419950
I shouldn't have been forced here.,0.7351863089816785,forced,,,torontofantasy.6.435400,torontofantasy.5732100
The excitement was almost too much.,0.7393940532302973,almost,,,torontofantasy.6.138648,torontofantasy.1893927
Easy on hand and good distance.,0.7391479516662652,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02250031
He was the one who spoke.,0.7409085295144097,spoke,,,torontomyst.6.146929,torontomyst.1896212
He was pretty easy to notice.,0.7325159396738959,easy,,,cocaspok2007.6.000422,cocaspok2007.0004546
Thoughts of a family soon followed.,0.739346267263417,soon,,,cocaspok2007.6.006522,cocaspok2007.0086259
Sprint would give that to them.,0.7417232147088088,give,,,cocaspok2004.6.008413,cocaspok2004.0126125
They won't treat you any better.,0.73346957830759,better,,,cocaspok1992.6.003847,cocaspok1992.0049357
Maybe you'll be entertaining guests soon.,0.7401623438382846,soon,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01515699
You have every right to be.,0.7330845818436281,every,,,cornellmov.6.021879,cornellmov.0128907
I would give them to her.,0.7357875619269455,give,,,cocaspok2002.6.000024,cocaspok2002.0000424
I want you to throw up.,0.7371274104424504,throw,,,cocaspok2007.6.007417,cocaspok2007.0095445
That is another very good additional.,0.7418041339409961,additional,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03244071
"And still it came, pushing forward.",0.7408631331616281,still,,,torontomyst.6.134997,torontomyst.1748416
A couple of really quick questions.,0.7326211437731659,quick,,,cocaspok2004.6.006102,cocaspok2004.0094119
It was a pretty weak throw.,0.7375902761927086,throw,,,cocaspok2009.6.006505,cocaspok2009.0082949
I have all of those already!!!,0.7374256141288059,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00754425
And I got a clean record.,0.7404881369306855,clean,,,torontomyst.6.051965,torontomyst.727113
"Development of quick, responsive, optimised sites.",0.7252781007504364,"quick,responsive",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04618051
Is that going to hurt him?,0.7412979712376883,hurt,,,cornellmov.6.031588,cornellmov.0192074
The clouds forming overhead worried him.,0.7420154568207772,worried,,,torontofantasy.6.429713,torontofantasy.5667860
I've been feeling low for weeks.,0.7365513361807817,low,,,cornellmov.6.021919,cornellmov.0129182
It's time to change it somewhat.,0.7366695633895873,somewhat,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03759333
And the clothing is somewhat interesting.,0.7410164056505097,"clothing,somewhat",,,cocaspok1993.6.001962,cocaspok1993.0027171
So its phone number displays unknown.,0.7381221392766361,displays,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00538930
I spoke with him three times.,0.7383515577793037,spoke,,,cocaspok2009.6.000437,cocaspok2009.0004486
"It would be less civilized, certainly.",0.7307062253455116,civilized,,,wsj.6.001790,wsj.322895
He forced himself to be deliberate.,0.7138974658346596,forced,,,brown.6.001410,brown.026877
Very quick with communication and responses.,0.734850444026383,quick,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04864568
"Along with that, life isn't fair.",0.7361340593404663,life,,,torontofantasy.6.014686,torontofantasy.216586
"Well, one is I'm better prepared.",0.7416999802201523,better,,,cocaspok1999.6.006805,cocaspok1999.0091213
Give them the time they need.,0.7349051175503306,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00792938
His serious expression changed to dread.,0.7374795671188054,"serious,expression",,,torontofantasy.6.282327,torontofantasy.3678665
"Bright, bold, textured and extremely innovative.",0.738734782028339,"extremely,innovative",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04555717
It was a great media event.,0.7407926405613732,event,,,cocaspok1990.6.001430,cocaspok1990.0024127
Better than knowing individuals any day.,0.7287246342162582,better,,,torontofantasy.6.298577,torontofantasy.3910835
"Still, the Resistance has its ways.",0.7380537253169832,still,,,torontofantasy.6.003160,torontofantasy.42791
What are you afraid will happen?,0.7422218912715941,afraid,,,cornellmov.6.006194,cornellmov.0035231
Liquor Stores can be extremely profitable.,0.7372514337448267,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03004041
"Regardless, the viewing was a comfort.",0.7328001183483361,"regardless,viewing",,,torontofantasy.6.202220,torontofantasy.2742965
And you will give me occasion.,0.7286730667838586,give,,,cornellmov.6.036198,cornellmov.0221353
"Well, I'm trying to educate him!",0.7365192757130719,educate,,,cornellmov.6.017019,cornellmov.0098065
Something had a hold on her.,0.7409429942106079,hold,,,torontofantasy.6.184063,torontofantasy.2498619
Will you give her a message?,0.736443698575953,give,,,cornellmov.6.037466,cornellmov.0229604
You have a problem with it.,0.7391618329888155,problem,,,cocaspok1996.6.002906,cocaspok1996.0036885
That might be a good sign.,0.7343932196042727,sign,,,torontomyst.6.136111,torontomyst.1763994
"We were extremely worried,"" Tovan responded.",0.7200658958651529,"extremely,worried",,,torontofantasy.6.033611,torontofantasy.487179
His strength was draining too quickly.,0.7373382584549701,strength,,,torontofantasy.6.388197,torontofantasy.5087558
Inspiration for every aspect of life.,0.738178341297565,"every,life",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02091611
It must be another business establishment.,0.7351596824295535,must,,,torontofantasy.6.080349,torontofantasy.1186144
You make that sound so easy.,0.7354729713918405,easy,,,torontofantasy.6.226668,torontofantasy.3030180
He must be good for something.,0.7379479023334891,must,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01672391
Things to come to terms with.,0.7395143436309216,terms,,,cornellmov.6.039110,cornellmov.0240388
Though it appears you already have.,0.7377767282948272,already,,,cornellmov.6.037157,cornellmov.0227441
You better get used to it.,0.7413281764014418,better,,,cornellmov.6.030812,cornellmov.0186789
I'll give you your heart's desire.,0.738701594581123,"give,desire",,,cornellmov.6.020981,cornellmov.0123377
Four affirmations are better than none.,0.7409820864513761,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01756438
A heavy and generously proportioned object.,0.7280964021643258,heavy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04287436
I tend to avoid such situations.,0.7188099533733876,such,,,torontomyst.6.005456,torontomyst.76844
I was already prepared for that.,0.7377715142186795,already,,,cocaspok1995.6.002909,cocaspok1995.038442
They were almost to the woods.,0.7405234791965875,almost,,,torontofantasy.6.368350,torontofantasy.4817642
Better having two choices than one.,0.7291457583052887,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03109702
Most markets are still relatively healthy.,0.735784223213726,still,,,cocaspok2005.6.004469,cocaspok2005.0070938
Ostedes was more powerful than ever.,0.7311356609156057,powerful,,,torontofantasy.6.042236,torontofantasy.618411
I won't let them hurt you.,0.7370039212109043,hurt,,,torontofantasy.6.019201,torontofantasy.280372
They've suspended him for two days.,0.7415366845115763,suspended,,,cornellmov.6.017721,cornellmov.0102529
You have to give me something.,0.7332680296175083,give,,,torontofantasy.6.137288,torontofantasy.1879753
It was definitely a valuable experience.,0.7300642862413419,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02556044
The sail was almost on him.,0.7342963011506353,almost,,,torontofantasy.6.463223,torontofantasy.6024097
Give Your Content Order And Purpose.,0.740599208903549,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03227237
His face devoid of all expression.,0.7326301089428243,expression,,,torontofantasy.6.443350,torontofantasy.5796459
Experts offer all kinds of advice.,0.7398886825598057,offer,,,cocaspok1991.6.000310,cocaspok1991.0005149
Reliable edge hold on firmer snow.,0.7389488135461613,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03156191
It is kind of getting tight.,0.7375619381947182,tight,,,cocaspok2009.6.011448,cocaspok2009.0148845
Practically everyone in Debrett's has one.,0.7420533408318917,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02843641
That no longer is so easy.,0.7385941701157193,easy,,,wsj.6.002028,wsj.367571
Easy to fill and very durable!,0.7285133209425544,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01498543
"If you're ever afraid, call me.",0.7409807663092791,afraid,,,torontomyst.6.121645,torontomyst.1602249
Almost anyone could have written it.,0.7418198432694578,almost,,,brown.6.000796,brown.015656
Create a great life for yourself.,0.731401315946765,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03414440
They're already frustrated enough with you.,0.7236491673086476,already,,,torontofantasy.6.204019,torontofantasy.2765866
Everyone must make their own choices.,0.7399445634962819,"everyone,must",,,torontofantasy.6.059676,torontofantasy.871268
A life has been lost needlessly.,0.7366802950990067,life,,,cocaspok2007.6.008047,cocaspok2007.0102130
I desire credit life insurance only.,0.7397996842335135,"desire,life",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01995963
So three triggers must be implemented.,0.7356524436834274,must,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03417330
Stragen asked with a worried expression.,0.7385463184914789,"worried,expression",,,torontofantasy.6.412899,torontofantasy.5411991
They both walked out towards reception.,0.7368975701975952,reception,,,torontofantasy.6.013678,torontofantasy.199595
One can't help but be concerned.,0.7331761429964995,concerned,,,cocaspok1996.6.000363,cocaspok1996.0005409
They're afraid they might get lost.,0.7414455874590359,afraid,,,cocaspok2001.6.000693,cocaspok2001.0013589
Storearmy Dashboard is the powerful tool.,0.7402831514322684,powerful,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01170520
Can you hear me better now?,0.7423219578015702,better,,,cornellmov.6.015712,cornellmov.0089654
It was better not to resist.,0.7278150035215396,better,,,torontofantasy.6.179658,torontofantasy.2444922
We're finding strength to come forward.,0.7326249106635168,strength,,,cocaspok1994.6.004692,cocaspok1994.0058736
Thanks Everyone for making these possible!!,0.7300051571825384,everyone,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02440337
