reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
1,,Funeral services will be 2 p.m.,0.7633178536,,funeral,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00462124
,,"You know what it is, Mark?",0.7595173512,,mark,,cocaspok1998.6.002863,cocaspok1998.0038956
,,They mark the river's navigable channel.,0.7566720707,,mark,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02143263
,,"Take her sweetness, take her innocence.",0.7649705215,,sweetness,,torontofantasy.6.271728,torontofantasy.3567593
,,They were also suing Ken Lay.,0.7572495873,,ken,,cocaspok2006.6.002932,cocaspok2006.0050036
,,Not a great first date look.,0.7605882986,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04870664
,,Ethan was one of those lovers.,0.7577001821,,lovers,,torontomyst.6.072535,torontomyst.1004238
,,Box opened to take photos only.,0.7603168477,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04648653
,,"I already have a boyfriend, Nick.",0.7645679136,already,nick,,cornellmov.6.011560,cornellmov.0065446
,,Niccolo then looked toward his troops.,0.759169311,,troops,,torontofantasy.6.049362,torontofantasy.719425
,,We've only got five seconds left.,0.7591504428,,left,,cocaspok2005.6.006893,cocaspok2005.0106688
,,How much time you got left?,0.758428641,,left,,cornellmov.6.011816,cornellmov.0066994
1,,The castle was reamed with a.,0.7610120558,,castle,,torontomyst.6.088298,torontomyst.1185514
,,Read more about their fate here.,0.7574771597,,fate,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02666087
,,"Well he just left, what's wrong?",0.7578883873,,left,,cornellmov.6.011667,cornellmov.0066194
,,"Put like that, it was mysterious.",0.7567781626,,put,,torontomyst.6.101900,torontomyst.1351106
,,We've got plenty of baking powder.,0.7582362985,,baking,,cornellmov.6.022770,cornellmov.0135105
,,Put the gun to my head.,0.7622270429,,put,,cornellmov.6.024027,cornellmov.0143283
,,Nick glanced over to the cameras.,0.7638111774,,"nick,cameras",,torontofantasy.6.230906,torontofantasy.3082113
,,"I went left, toward the sound.",0.7624833248,,left,,torontomyst.6.002167,torontomyst.32685
,,I turned and looked at Martin.,0.7640633537,,martin,,torontofantasy.6.022856,torontofantasy.336083
,,That's why it's important to have.,0.7608734215,,important,,cocaspok2011.6.005371,cocaspok2011.0068375
,,It wasn't my idea to go.,0.7568877985,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02126870
,,He made the strangest accusation yesterday.,0.7597821931,,yesterday,,cocaspok2012.6.001480,cocaspok2012.017568
,,"But for now, enjoy the footage.",0.7572690033,,footage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00004300
,,He says it's missing something important.,0.763980672,,important,,cocaspok2004.6.002152,cocaspok2004.0036000
,Today is the sixth of May.,Today is the Sixth of May.,0.760363222,,sixth,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01367544
,,He looked so pale and swollen.,0.7622809653,,"pale,swollen",,cocaspok2009.6.002059,cocaspok2009.0023264
,,Now here's another kind of flour.,0.7622263759,,flour,,cocaspok1998.6.002418,cocaspok1998.0034814
,,The smile never left his face.,0.7563492646,,left,,torontofantasy.6.364929,torontofantasy.4768246
,,Daniel was a prophet of God.,0.7627777151,,daniel,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02077823
,,Put it down or I'll shoot.,0.7629826377,,"put,down",,cornellmov.6.012032,cornellmov.0068392
,,Enjoying the sunshine below the castle.,0.7604291349,,castle,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01796764
,Put the gear in your inventory.,Put the Gear in your inventory.,0.7618481422,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02830435
,,"Truly, this was a magical age.",0.7577538257,,magical,,torontofantasy.6.375177,torontofantasy.4911515
,,Finn gave me a grim look.,0.7603639395,,finn,,torontofantasy.6.338767,torontofantasy.4457282
,,It turns into a hard plastic.,0.7587119512,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02442671
,,"Shaw, can you identify this man?",0.7616699847,,shaw,,cornellmov.6.020302,cornellmov.0118729
,,I agree with what Mark said.,0.7631465454,,mark,,cocaspok1993.6.008531,cocaspok1993.0115117
,Is today sponsored by a church?,Is Today sponsored by a church?,0.7653262321,,church,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04860001
,,But now the forests have returned.,0.7563943401,returned,forests,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00403710
,,I got a little dirty record.,0.7574776756,,dirty,,cocaspok2003.6.004456,cocaspok2003.0071122
,,"Sure, Nick had been lovesick before.",0.7596351832,,nick,,torontofantasy.6.176075,torontofantasy.2385709
,,They put guns in their hands.,0.7590405812,,put,,cocaspok1990.6.000079,cocaspok1990.0001241
,,It left no room for negotiation.,0.7578191864,,left,,torontomyst.6.033912,torontomyst.480741
,,I breathed out a heavy sigh.,0.7608737724,heavy,sigh,,torontofantasy.6.438102,torontofantasy.5751769
,,Tonight was perfect night for soup.,0.7642404893,,soup,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00166171
,,"Coop said, excited with the idea.",0.7604052827,,idea,,torontomyst.6.100805,torontomyst.1335439
,,The man let out a sigh.,0.7632280204,,sigh,,torontoadv.6.060376,torontoadv.1001049
,,Our information maybe out of date.,0.7595937859,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00429407
,,But he was Joe the Plumber's.,0.7617823811,,joe,,cocaspok2008.6.009428,cocaspok2008.0117643
,,I've no idea what will happen.,0.7602537273,,idea,,torontofantasy.6.102137,torontofantasy.1476628
,,Garion was startled at the idea.,0.7622422906,,idea,,torontofantasy.6.418350,torontofantasy.5494710
,,It's not all wilderness and forests!,0.7624508034,,forests,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02951751
,,"Without warning, Ariana thought of Quinn.",0.7618945522,,quinn,,torontomyst.6.100164,torontomyst.1325816
,,He suffered third degree leg burns.,0.7627072893,,third,,cocaspok1990.6.000886,cocaspok1990.0014885
,,I mean -- what would be left.,0.7597923122,,left,,cornellmov.6.040904,cornellmov.0252366
,,I squeezed the trigger twice more.,0.7565556409,,squeezed,,torontofantasy.6.007915,torontofantasy.113017
,,We're finally getting over the hump.,0.7618876601,,hump,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01012795
,,You are a happy man Oliver.,0.7567599979,,oliver,,cornellmov.6.032909,cornellmov.0200106
,,Let's start by thinking about marketing.,0.7633234133,,marketing,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02415146
,,Important electoral states were at stake.,0.7602547497,,important,,cocaspok1990.6.004522,cocaspok1990.0072118
,,It has its own magical charm.,0.7607198402,,magical,,torontofantasy.6.290688,torontofantasy.3793129
,,"Probably on their first date, right?",0.7639686017,,date,,cornellmov.6.006583,cornellmov.0037669
,,"Too many shootings, too many killings.",0.7573798093,,killings,,cocaspok1996.6.004559,cocaspok1996.0056462
,,Were they staring at my scars?,0.7617216055,,staring,,torontoadv.6.024240,torontoadv.427867
,,Her grip tightened on her daggers.,0.7594360547,,daggers,,torontofantasy.6.263482,torontofantasy.3483014
,,"No marketing meetings, no product seminars.",0.7593502368,,marketing,,cornellmov.6.016386,cornellmov.0093906
,,He's growing more and more paranoid.,0.7643780088,,paranoid,,torontofantasy.6.181090,torontofantasy.2461841
,,You spoke to Gary Graham today.,0.76260629,spoke,gary,,cocaspok2000.6.005053,cocaspok2000.0085818
,,His gaze went to my hair..,0.7648988108,,hair,,torontofantasy.6.106215,torontofantasy.1531508
,,He began to do that yesterday.,0.7567273722,,yesterday,,cocaspok2003.6.004699,cocaspok2003.0074643
,,He exhaled a cloud of smoke.,0.7623698001,,cloud,,torontofantasy.6.023385,torontofantasy.344531
,,Just before we left the courthouse.,0.7578289799,,left,,cocaspok2007.6.010457,cocaspok2007.0131149
,,"Tesch, Gary singled to second base.",0.764760968,,gary,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00351921
,They're paying a premium for liquidity.,"""They're paying a premium for liquidity.""",0.7566306522,,premium,,wsj.6.001491,wsj.273437
,,"Tougher than plastic, it wears well.",0.7597575206,,plastic,,brown.6.000636,brown.011284
,,Everyone was looking for Michael Jordan.,0.7637276837,everyone,jordan,,cocaspok1995.6.001310,cocaspok1995.018921
,,Oliver asked in a worried voice.,0.764422107,worried,oliver,,torontofantasy.6.336553,torontofantasy.4416412
,,"He cursed, batting the pillow aside.",0.7643456199,,pillow,,torontomyst.6.169759,torontomyst.2159836
,,"I bid you well, Ascendiate Jordan.",0.7584976054,,jordan,,torontofantasy.6.404303,torontofantasy.5292058
,,But Jade was shaking her head.,0.7649328235,,jade,,torontofantasy.6.434906,torontofantasy.5728002
,,But comedy is becoming this passion.,0.7635147058,,passion,,cocaspok2006.6.009515,cocaspok2006.0143138
,,Yesterday I saw people wearing shorts.,0.7646396067,,yesterday,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00624635
,,"Don't you put her out, Paul.",0.7608008666,,put,,cornellmov.6.032525,cornellmov.0197622
,,Every cloud has a blue lining!,0.7607474078,every,cloud,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01908476
,,"You may be the pro, Joe.",0.7629332357,,joe,,cornellmov.6.034116,cornellmov.0207912
,,Come on -- I've got another idea.,0.759500959,,idea,,cornellmov.6.015367,cornellmov.0087741
,,"Even more, Eddie was a cop.",0.7650898741,,eddie,,torontomyst.6.114902,torontomyst.1522187
,,Adding lemon is a great idea.,0.7572033881,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00261831
,,It's not simply a debt crisis.,0.7614060559,,debt,,cocaspok2012.6.005488,cocaspok2012.067521
,,Max's hands locked around her waist.,0.7592518916,,waist,,torontomyst.6.167044,torontomyst.2136699
,,Put the pan over high heat.,0.7596035211,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01651625
,,So this must be the Battalion.,0.7568482008,must,battalion,,torontofantasy.6.309585,torontofantasy.4066770
,,My first time binding a pillow.,0.7569629349,,pillow,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00978752
,,They called here after you left...,0.7608392048,,left,,cornellmov.6.005076,cornellmov.0028579
,,He kissed me again and left.,0.7633278709,,left,,torontomyst.6.030838,torontomyst.438857
,,But my patience is wearing thin.,0.76358564,,thin,,torontofantasy.6.359785,torontofantasy.4718733
,,The other curled around her waist.,0.7637103543,,waist,,torontofantasy.6.185435,torontofantasy.2513863
,,Victor stops me in the hallway.,0.7602494809,,victor,,torontomyst.6.120023,torontomyst.1584347
,,Transfer dough to the plastic wrap.,0.7622807406,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01546251
,,He is talking about the economy.,0.7585901154,,economy,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01464590
,,Put some booster rockets in there.,0.7642917742,,put,,cocaspok2004.6.007767,cocaspok2004.0115888
,,I put everything in my room.,0.7590101962,,put,,cornellmov.6.033066,cornellmov.0200885
,,Congratulations on history's longest winning streak.,0.7591876889,,streak,,cornellmov.6.007550,cornellmov.0043033
,,Martin was going to marry me.,0.7627237621,,martin,,torontofantasy.6.445325,torontofantasy.5811903
,,"You know, the economy is booming.",0.7576959709,booming,economy,,cocaspok2000.6.007950,cocaspok2000.0126043
,,And I think Mark is right.,0.7615953535,,mark,,cocaspok1992.6.007378,cocaspok1992.0099949
,,"Barnard Thomas, manager of the hotel.",0.7648657965,,thomas,,cornellmov.6.012303,cornellmov.0069899
,,I asked him at the funeral.,0.7636648651,,funeral,,cornellmov.6.025729,cornellmov.0154180
,,"He asked, recovering from his hacking.",0.7641630348,,hacking,,torontomyst.6.023708,torontomyst.329029
,,"What are you, inspecting the barracks?",0.7572579485,,barracks,,cornellmov.6.024700,cornellmov.0147767
,,Daniel was thankful for small mercies.,0.7613998208,,daniel,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02246751
,,This is not a tax summit.,0.7622421102,,summit,,cocaspok1990.6.004853,cocaspok1990.0079415
,,"The idea came from you, actually.",0.7596267625,,idea,,torontofantasy.6.283458,torontofantasy.3690062
,,His eyes never left her face.,0.7620160824,,left,,torontomyst.6.167329,torontomyst.2138815
,,Father left me with a dilemma.,0.761000649,,left,,torontomyst.6.088302,torontomyst.1185554
,,All Russian troops must leave immediately.,0.7591245669,"must,leave",troops,,cocaspok2008.6.006262,cocaspok2008.0078049
,,What a great stocking stuffer idea.,0.7593871623,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03193644
,,"Well, it ain't exactly Emerald City...",0.7639284995,,emerald,,cornellmov.6.006114,cornellmov.0034714
,,"So, what have my cameras revealed?",0.763701821,,cameras,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01106668
,,So I had left too early.,0.7607246645,,left,,torontomyst.6.042408,torontomyst.600908
,,It was covering William's mark now.,0.756401477,,mark,,torontofantasy.6.468971,torontofantasy.6091389
,,That's got to smart a bit.,0.7563222124,,smart,,cornellmov.6.016833,cornellmov.0096962
,,"He looked overdone, rather than edible.",0.7572508998,,edible,,torontomyst.6.085619,torontomyst.1151920
,In debt and needing a loan.,In Debt And Needing a Loan.,0.7589419019,,debt,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02093915
,,Time to put the kebabs together.,0.7577970757,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01613211
,,Why put them in this position?,0.7595951336,,put,,cornellmov.6.029995,cornellmov.0181513
,,Your cat feels the same way!,0.7606971789,,cat,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02781741
,,We'll do the main footage later.,0.7648933227,,footage,,cornellmov.6.030136,cornellmov.0182439
,,Put a BOLO out on that.,0.7640678353,,put,,cornellmov.6.005390,cornellmov.0030601
,,Good to hear from you Toni.,0.7611646867,,toni,,torontomyst.6.036655,torontomyst.518929
,,You're left with only military intervention.,0.7623683065,,left,,cocaspok1994.6.001773,cocaspok1994.0025128
,,"Train smart, ride hard, have fun!",0.761781375,,smart,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04703082
,,Her voice was sleepy and low.,0.7600681463,low,sleepy,,torontofantasy.6.400953,torontofantasy.5246344
,,Because you have credit card debt.,0.7570752079,,debt,,cocaspok2009.6.011125,cocaspok2009.0145759
,,You kill with your left hand?,0.7565535444,,left,,cornellmov.6.002310,cornellmov.0013057
,,Probably left it in your room.,0.7634086178,,left,,cornellmov.6.011335,cornellmov.0064246
,,There's a mailbox that's always full.,0.7640136207,full,mailbox,,cocaspok1991.6.000244,cocaspok1991.0003954
,,Sure there's not a drop left?,0.7620846674,,left,,torontofantasy.6.366676,torontofantasy.4795674
,,Someone clapped Nate on the shoulder.,0.763044257,,nate,,torontomyst.6.126720,torontomyst.1657290
,,My third pair of this style.,0.7615900869,,third,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03769936
,,I have a question for Quinn.,0.758683176,,quinn,,cocaspok1993.6.003195,cocaspok1993.0043864
,,You put together the trial lawyers.,0.7574471769,,put,,cocaspok1999.6.006355,cocaspok1999.0085275
,,Is it all about the university?,0.7609331782,,university,,torontoadv.6.006414,torontoadv.108871
,,How could beneficial bacteria lower cholesterol?,0.7650661605,,bacteria,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03660663
,,It's a grateful acknowledgment of debt.,0.7585358814,,debt,,wsj.6.002944,wsj.532572
,,Choose bumper body kit plastic material.,0.762559832,,plastic,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00403804
,,Castle covered by a force field?,0.7613789089,,castle,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02989314
,,"Come on boys, don't be shy.",0.7603560853,,shy,,cornellmov.6.008517,cornellmov.0048696
,,"Stacy, somebody's trying to kill me.",0.7610061939,,stacy,,cornellmov.6.030376,cornellmov.0184013
,,I put myself right by Angel.,0.7579454902,,put,,torontomyst.6.070666,torontomyst.974978
,,A thin grin lined Grumer's face.,0.7576701408,,thin,,torontomyst.6.088034,torontomyst.1182875
,,Important McQ questions for bank exam.,0.7636942658,,important,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03155066
,,Thomas Westover stood up and smiled.,0.7632462723,,thomas,,torontomyst.6.017309,torontomyst.246627
,,Let me grab my hair tie.,0.7566444644,,hair,,torontofantasy.6.356284,torontofantasy.4676735
,,Then he put the packet back.,0.7600062056,,put,,torontomyst.6.062819,torontomyst.874103
,,The girl pointed to the left.,0.7600435561,,left,,torontofantasy.6.218034,torontofantasy.2934182
,,Even my teenage boys were impressed.,0.7646086178,,teenage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03341503
,,Did you read the papers yesterday?,0.7651004334,,yesterday,,cornellmov.6.014843,cornellmov.0084606
,,The clock has started to tick.,0.7619789975,,tick,,cocaspok1990.6.001191,cocaspok1990.0019587
,,The left will follow at once.,0.7577174135,,left,,brown.6.000673,brown.011985
,,I shouldn't have left him alone.,0.7574697774,,left,,cornellmov.6.016147,cornellmov.0092487
,,You never eat when you're despondent.,0.7630022383,,despondent,,cornellmov.6.011712,cornellmov.0066430
,,Running to the helm Sander smiles.,0.7600636887,,helm,,torontofantasy.6.006889,torontofantasy.94740
,,"Instead, Bride used it for storage.",0.7641401656,,storage,,torontofantasy.6.216602,torontofantasy.2918737
,,It's good to be a cat.,0.7585579215,,cat,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03184061
,,"Big labor, small labor, me personally.",0.7565379922,,"labor,labor",,cocaspok1996.6.002891,cocaspok1996.0036782
,,Complete with specs and release date.,0.7639674123,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03370744
,,Her father loading up the shotgun?,0.7594812843,,shotgun,,cornellmov.6.004588,cornellmov.0025891
,,Do you need a cleanup crew?,0.756972203,,crew,,torontofantasy.6.373922,torontofantasy.4892400
,,Which kernel version are you using?,0.7589002434,,kernel,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00567823
,,"We have got to go, Mark.",0.7575421922,,mark,,cocaspok2010.6.002016,cocaspok2010.0025587
,,That's how the economy gets rolling.,0.7615465451,,economy,,cocaspok2008.6.008360,cocaspok2008.0103184
,,Hormonal problems might trigger hair loss.,0.7630374872,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01363593
,,"Sharon Stone, good to see you.",0.7592423062,,sharon,,cocaspok1998.6.008984,cocaspok1998.0118183
,,I trained people with plastic explosives.,0.7564973306,,plastic,,cocaspok1996.6.005310,cocaspok1996.0066841
,,The cookie jar on the counter!,0.7606801335,,jar,,torontofantasy.6.282206,torontofantasy.3677475
,,"You know, it's a dirty business.",0.7637839525,,dirty,,cocaspok2007.6.008428,cocaspok2007.0107152
,,"The perfect date, they called it.",0.7655883066,,date,,cocaspok1997.6.001825,cocaspok1997.0021197
,,Hit those assholes on the left!,0.7650575229,,left,,torontoadv.6.012320,torontoadv.210537
,,Usually I'm the biggest coward around.,0.7652604341,,coward,,torontofantasy.6.280756,torontofantasy.3662102
,,The lost squadron is still lost.,0.7615559695,still,squadron,,cocaspok1991.6.001441,cocaspok1991.0025098
,,Hit a streak when we left.,0.7563964397,,"streak,left",,cornellmov.6.039602,cornellmov.0243605
,,Maybe this was a lame idea.,0.7596991176,,idea,,torontomyst.6.122448,torontomyst.1610802
,,These emotions were like living photos.,0.7622791564,,photos,,torontoadv.6.039979,torontoadv.683824
,,The dogs and cat were quiet.,0.7624737354,,cat,,cocaspok2003.6.000714,cocaspok2003.0014203
,,So what are some top flavors?,0.7634831127,,flavors,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00564893
,,Spencer forced her muscles to relax.,0.7608475297,forced,relax,,torontomyst.6.079111,torontomyst.1077356
,,These unique visitors make 0 pageviews.,0.7587996294,,unique,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02381058
,,Her mother put down her book.,0.7587289342,,"put,down",,torontofantasy.6.072819,torontofantasy.1076462
,,I just couldn't put into words.,0.7591355794,,put,,torontofantasy.6.338112,torontofantasy.4442517
,,You want it fluffy and pale.,0.7594978297,,pale,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01856011
,,"If necessary, add in additional flour.",0.7604134346,additional,flour,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00306919
,,Belgarath muttered a few choice oaths.,0.7645299911,,oaths,,torontofantasy.6.414378,torontofantasy.5432407
,,You have a huge veterans population.,0.7602666532,,veterans,,cocaspok2003.6.002987,cocaspok2003.0051775
,,Right in the nick of time!,0.7651402597,,nick,,cornellmov.6.035997,cornellmov.0219848
,,Then he squeezed his eyes shut.,0.7578527594,,squeezed,,torontofantasy.6.450537,torontofantasy.5849422
,,What'd you put in my wheel!,0.7604546579,,put,,torontofantasy.6.439493,torontofantasy.5768291
,,Max spoke quietly from the darkness.,0.7599579311,spoke,max,,torontofantasy.6.105877,torontofantasy.1525908
,,"He was far, far in debt.",0.7623597537,,debt,,cocaspok2006.6.004668,cocaspok2006.0074903
,,"Quit screwing around, this is important.",0.7635863114,,important,,cornellmov.6.002623,cornellmov.0014763
,,Her emerald eyes were slightly dulled.,0.7567656756,,emerald,,torontofantasy.6.278327,torontofantasy.3637984
,,Blake let out a grating sigh.,0.7651227076,,sigh,,torontoadv.6.021831,torontoadv.387750
,,Your photos are making me hungry.,0.7590530549,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01690511
,,Soon he'll be a plastic cube.,0.7622520598,soon,plastic,,cornellmov.6.014543,cornellmov.0082772
,,Ramsay gave Reek a suspicious glance.,0.7626979655,,reek,,torontofantasy.6.467228,torontofantasy.6072355
,,He put his room in order.,0.7586693932,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03606919
,,I felt like a Doubting Thomas.,0.7577000053,,thomas,,torontoadv.6.005633,torontoadv.96609
,,Staring at me with Madeline's eyes.,0.7595531194,,staring,,torontofantasy.6.372145,torontofantasy.4869520
,,I had nothing left in me.,0.7620233828,,left,,torontofantasy.6.292800,torontofantasy.3824088
,,"He moved him left, then right.",0.7593106005,,left,,torontofantasy.6.428692,torontofantasy.5654954
,,Brownstones are back to being barren.,0.7586891357,,barren,,torontomyst.6.106452,torontomyst.1407401
,,Stay put for the long term.,0.7590155067,,put,,cocaspok1999.6.010866,cocaspok1999.0144379
,,Hence the characters within my poem.,0.7586345284,,hence,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01875342
,,Wonder if he had a concussion.,0.7579924258,,concussion,,torontofantasy.6.313680,torontofantasy.4114178
,,It's really a unique evolutionary experiment.,0.7636166168,,unique,,cocaspok1992.6.007900,cocaspok1992.0109882
,,What happened to our beautiful hair?,0.7653687655,,hair,,cocaspok2003.6.007586,cocaspok2003.0110922
,,But Daniel was not so lucky.,0.7600780612,,daniel,,torontoadv.6.019213,torontoadv.343090
,,Did they reach to her waist?,0.7580508878,,waist,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03370946
,,I -- you are the Bobbie Thomas.,0.762142342,,thomas,,cocaspok2008.6.003595,cocaspok2008.0044854
,,Sprinkle evenly with the spice mixture.,0.7607009123,,spice,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00589666
,,"Let me go to you, Daniel.",0.7606966318,,daniel,,cocaspok2007.6.001585,cocaspok2007.0019953
,,"Hold on, and wait for Joe.",0.7581990129,hold,joe,,cornellmov.6.023386,cornellmov.0139053
,,Serve warm with some salted butter.,0.7567725041,,butter,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01826622
,,"Max killing Jenny, utterly destroying her.",0.7598108432,,max,,torontomyst.6.060333,torontomyst.837433
,,Washout occurs outside of the cloud.,0.7601422978,,cloud,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03914140
,,Cynthas stood where he'd left her.,0.7586223408,,left,,torontofantasy.6.004677,torontofantasy.64311
,,Students may assemble representative mammal collection.,0.7633243572,,mammal,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01525012
1,,"Rick said, as coolly as possible.",0.7615352669,,rick,,torontoadv.6.046018,torontoadv.777564
,,"Grant, Franklin Roosevelt and many others.",0.7570592807,,franklin,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01750326
,,"Smith, you up for a flyby?",0.7654017125,,smith,,cornellmov.6.018012,cornellmov.0104285
,,Click here to view their entry.,0.7590351715,,entry,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02723217
,,Are impeachment hearings on the horizon?,0.7590284293,,horizon,,cocaspok1998.6.003751,cocaspok1998.0050766
,,I had that much honor left.,0.7571665724,,left,,torontofantasy.6.388774,torontofantasy.5094856
,,Martin threw open the back door.,0.7644270642,,martin,,torontofantasy.6.108670,torontofantasy.1567673
,,His manipulation literally left me fuming.,0.7586327949,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00309241
,,Abate singled through the left side.,0.7602302706,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01286255
,,Alcohol is a disease of denial.,0.7603696583,,denial,,cocaspok2003.6.007777,cocaspok2003.0112763
1,,"Ariot said, accuracy as ever, paramount.",0.7653139149,,accuracy,,torontofantasy.6.065169,torontofantasy.956956
,,Because this could mark their comeback.,0.757562749,,mark,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02835583
,,Okay... okay... I put it down.,0.7611825359,,"put,down",,cornellmov.6.038625,cornellmov.0236887
,,They date to the same year.,0.7638714597,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02886561
,,Don't pull her hair too hard.,0.7625819275,,hair,,torontofantasy.6.262524,torontofantasy.3473211
,,Photos are up on our page.,0.7643616923,,photos,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00511641
,,"Couldn't put him back together again,",0.7575089356,,put,,torontoadv.6.031393,torontoadv.538181
,,Sarila made these from magical elements.,0.7626864151,,magical,,torontofantasy.6.047524,torontofantasy.695230
,,Forgetting task lights in the kitchen.,0.7563887825,,kitchen,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01273017
,,Packing tips for your Virginia move.,0.7612030226,packing,virginia,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01985330
