sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_use
Public relations experts in San Diego.,high,0.7659574468085106,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.155222,high.01372,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04192524,1372,0.9789374
"Alissa Weiss comes from Philadelphia, Pennsylvania.",high,0.8918918918918919,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.096516,high.01373,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02609025,1373,0.9665381
Natural artisan soap handcrafted in Tennessee.,high,0.8356164383561644,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.155797,high.01374,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04207904,1374,0.97649205
He's the real son of God.,high,0.9444444444444444,cocaspok2005.6.007477,high.01375,cocaspok2005.0114121,1375,0.92572635
"Aw, it's gotta be a typo.",high,0.9154929577464788,cornellmov.6.014830,high.01376,cornellmov.0084527,1376,0.89449096
"Scott cried, pursing his pink lips.",high,0.8909090909090909,torontomyst.6.081838,high.01377,torontomyst.1106822,1377,0.9156649
Little cute shoes adorned her feet.,high,0.8571428571428571,torontofantasy.6.112027,high.01378,torontofantasy.1607649,1378,0.9350259
"It was Wednesday, September 16th, 2015.",high,0.9482758620689656,torontofantasy.6.061942,high.01379,torontofantasy.909088,1379,0.96821564
Steven looked dapper in Tom Ford.,high,0.8941176470588236,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.082775,high.01380,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02267896,1380,0.93674004
"For NPR News, I'm Nancy Solomon.",high,0.8783783783783784,cocaspok2004.6.000493,high.01381,cocaspok2004.0006614,1381,0.95256895
"All right, Angela Poe in Mobile.",high,0.7719298245614035,cocaspok1998.6.002381,high.01382,cocaspok1998.0034348,1382,0.93310726
"Dear God, at what a price.",high,0.9019607843137256,brown.6.001242,high.01383,brown.024844,1383,0.91606814
Accredited nursing school located in Ohio.,high,0.8148148148148148,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.038250,high.01384,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01028832,1384,0.97909546
"For CNN Sports, I'm Matt Morrison.",high,0.9253731343283582,cocaspok2003.6.002756,high.01385,cocaspok2003.0047895,1385,0.93899614
Will hold about 400 lbs grapes.,high,0.8533333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.091505,high.01386,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02449841,1386,0.9518459
"Yes, the Fray Diego de Landa.",high,0.8421052631578947,torontofantasy.6.282728,high.01387,torontofantasy.3682533,1387,0.94668794
The Duchess of Kent visits Italy.,high,0.8867924528301887,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.107665,high.01388,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02906181,1388,0.9656244
Ford sales fell by 14 percent.,high,0.8666666666666667,cocaspok1991.6.003774,high.01389,cocaspok1991.0055341,1389,0.9757677
He's the guy with the cowbell.,high,0.8309859154929577,cocaspok2006.6.005836,high.01390,cocaspok2006.0092963,1390,0.9063611
Flights to Cairo and Kiev... canceled.,high,0.9253731343283582,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.159303,high.01391,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04280161,1391,0.9947021
"Olivetti pursed his lips, looking dour.",high,0.7901234567901234,torontomyst.6.066081,high.01392,torontomyst.916157,1392,0.92329943
Seth didn't even bother chasing Derek.,high,0.8072289156626506,torontofantasy.6.320999,high.01393,torontofantasy.4211939,1393,0.9181689
"Tested and verified June 18, 2018.",high,0.8529411764705882,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.123745,high.01394,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03348671,1394,0.9873987
But it's still clingy and sexy.,high,0.918032786885246,cocaspok2000.6.005541,high.01395,cocaspok2000.0092432,1395,0.9206292
Does Germany need a plan B?,high,0.92,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.049709,high.01396,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01325225,1396,0.95570356
Antimatter is yin to matter's yang.,high,0.9,torontomyst.6.065658,high.01397,torontomyst.911700,1397,0.9576012
I looked at my sleeping son.,high,0.8545454545454545,torontomyst.6.121863,high.01398,torontomyst.1604573,1398,0.9073487
And we bombed Sudan and Afghanistan.,high,0.9375,cocaspok2001.6.002070,high.01399,cocaspok2001.0037520,1399,0.96618783
Now let's talk about Donkey Kong.,high,0.967741935483871,cocaspok2007.6.009623,high.01400,cocaspok2007.0122500,1400,0.9468906
This pineapple salsa is so good!,high,0.8571428571428571,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.115464,high.01401,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03101272,1401,0.93180114
Your baby is so cute too!!,high,0.8714285714285714,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.086759,high.01402,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02351923,1402,0.9196768
Captain Chas Turner pursed his lips.,high,0.8166666666666667,torontomyst.6.109808,high.01403,torontomyst.1452841,1403,0.920409
"Customer service on September 7, 2016.",high,0.8428571428571429,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.166638,high.01404,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04460022,1404,0.98914313
And he'll turn 70 in September.,high,0.9152542372881356,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.044799,high.01405,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01207716,1405,0.9534559
"You liked that Memphis Minnie, huh?",high,0.8674698795180723,cornellmov.6.018682,high.01406,cornellmov.0108766,1406,0.9264679
He's up in Washington from Atlanta.,high,0.7962962962962963,cocaspok1991.6.002412,high.01407,cocaspok1991.0039184,1407,0.9288186
Are cash rebates legal in Nevada?,high,0.8823529411764706,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.035662,high.01408,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00964339,1408,0.96865565
With me and Texas Mike O'Shay.,high,0.8607594936708861,cornellmov.6.030654,high.01409,cornellmov.0185743,1409,0.9461537
"Jason Carroll in Lancaster County, Pennsylvania.",high,0.8837209302325582,cocaspok2006.6.006786,high.01410,cocaspok2006.0106754,1410,0.9676083
Illinois Cru: 2018 Bermuda Classic Champions!,high,0.821917808219178,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.022598,high.01411,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00619687,1411,0.95974785
It's animal cruelty frying a unicorn.,high,0.8852459016393442,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.115273,high.01412,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03089611,1412,0.9414269
But Superman isn't an average man.,high,0.8983050847457628,cornellmov.6.013926,high.01413,cornellmov.0079195,1413,0.9411486
"But I'm a patriot, my dear.",high,0.863013698630137,torontofantasy.6.354241,high.01414,torontofantasy.4652768,1414,0.91981095
I didn't write the Elvis verse.,high,0.8823529411764706,cocaspok1999.6.010374,high.01415,cocaspok1999.0135606,1415,0.93083394
Say goodbye to off white icing!,high,0.9285714285714286,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.162247,high.01416,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04376733,1416,0.938579
"Dear daughter in law, happy birthday!",high,0.868421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.017925,high.01417,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00478761,1417,0.94947886
And that petite lasagna looks amazing!,high,0.85,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.065912,high.01418,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01761015,1418,0.9343495
"This is the guy, Gary Giordano.",high,0.8166666666666667,cocaspok2011.6.007261,high.01419,cocaspok2011.0092238,1419,0.93363154
Did the swine flu ground Jacko?,high,0.8260869565217391,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.000051,high.01420,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00001733,1420,0.94681966
Do Texas sheet cakes have nuts?,high,0.896551724137931,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.036708,high.01421,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00977578,1421,0.93766594
True analog bypass or DSP bypass.,high,0.8235294117647058,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.014076,high.01422,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00379961,1422,0.98781544
"Oh my son, my poor son!",high,0.8289473684210527,cornellmov.6.000324,high.01423,cornellmov.0002012,1423,0.9120569
"Aw, c'mon, it's just a bug.",high,0.8285714285714286,cornellmov.6.013617,high.01424,cornellmov.0077295,1424,0.91605514
Rent a Bentley in Courmayeur Italy.,high,0.8260869565217391,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.012705,high.01425,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00338710,1425,0.9687975
Penny and Keith had no romance.,high,0.8787878787878788,brown.6.000146,high.01426,brown.001880,1426,0.9368765
"Please RSVP by Monday, October 29th.",high,0.9491525423728814,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.021219,high.01427,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00566825,1427,0.9670653
"Oh, God, I love you, son.",high,0.8103448275862069,cornellmov.6.024861,high.01428,cornellmov.0148812,1428,0.9146713
"Larry Kelley of Yale, wise guy.",high,0.8421052631578947,cocaspok1996.6.005243,high.01429,cocaspok1996.0065836,1429,0.9536211
Free and legal Texas Holdem tournaments.,high,0.8793103448275862,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.077256,high.01430,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02094196,1430,0.98049855
Fangs cut through Derek's disfigured lips.,high,0.8727272727272727,torontofantasy.6.340241,high.01431,torontofantasy.4483420,1431,0.96112424
Decorate with pineapple pieces and cherries.,high,0.8873239436619719,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.169245,high.01432,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04587895,1432,0.9803371
The King's stinking son fired me.,high,0.8787878787878788,cornellmov.6.035805,high.01433,cornellmov.0218417,1433,0.9107533
Wanda Barzee and Brian David Mitchell.,high,0.8461538461538461,cocaspok2010.6.011978,high.01434,cocaspok2010.0155005,1434,0.97111624
"With extra fried egg, double sinful!",high,0.8392857142857143,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.021677,high.01435,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00592011,1435,0.95539635
"Bandits, rustlers, Texas rednecks, Kiowa, Comanche.",high,0.9454545454545454,cornellmov.6.033618,high.01436,cornellmov.0204773,1436,0.9562815
"Up first, the Daredevil recap page!",high,0.8266666666666667,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.002414,high.01437,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00066413,1437,0.9507537
"In Washington, Brian Wilson, Fox News.",high,0.8695652173913043,cocaspok2005.6.001242,high.01438,cocaspok2005.0023212,1438,0.95539993
"Nice guy, for an enamel surgeon.",high,0.8507462686567164,cornellmov.6.003607,high.01439,cornellmov.0020151,1439,0.9451918
Made at the London Jewellery Quarter.,high,0.8363636363636363,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.032865,high.01440,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00886315,1440,0.97277385
The Yellowstone Caldera is acting weird.,high,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.055624,high.01441,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01488230,1441,0.9515854
"June 14, 2014 in Photos, Safari.",high,0.926829268292683,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.094680,high.01442,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02530373,1442,0.98144937
But would Scarecrow really beat Wolverine?,high,0.9454545454545454,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.122251,high.01443,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03286638,1443,0.92921895
I love Lush's cute Easter stuff!,high,0.8082191780821918,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.083098,high.01444,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02276483,1444,0.9229783
Cambodian Service is Sunday at 11:00am.,high,0.8297872340425532,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.184628,high.01445,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04971657,1445,0.9642766
Recently invaded Germany and besieged Hamburg.,high,0.8378378378378378,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.121177,high.01446,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03279106,1446,0.9766105
"East Bangor, Pennsylvania Good evening, gentlemen.",high,0.8372093023255814,cocaspok1991.6.002369,high.01447,cocaspok1991.0038546,1447,0.9534143
It's like the Garden of Eden...,high,0.8541666666666666,cornellmov.6.005178,high.01448,cornellmov.0029171,1448,0.9243436
Oh dear god take me now!,high,0.7631578947368421,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.043150,high.01449,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01173621,1449,0.8969459
"Wallack, Lester's son and James's grandson.",high,0.8089887640449438,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.173097,high.01450,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04679363,1450,0.9620504
View our headlining tattoo artist Gator.,high,0.8524590163934426,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.181639,high.01451,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04860919,1451,0.95504314
"Top with mozzarella, mushrooms, and peppers.",high,0.9672131147540984,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.125617,high.01452,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03391464,1452,0.97518975
Gary Tuchman live in Little Havana.,high,0.8064516129032258,cocaspok2000.6.002330,high.01453,cocaspok2000.0039917,1453,0.9418752
"Man, this guy -- this guy's great.",high,0.7924528301886793,cocaspok2007.6.006139,high.01454,cocaspok2007.0081833,1454,0.92659867
So does half of San Diego.,high,0.8823529411764706,cornellmov.6.014768,high.01455,cornellmov.0084079,1455,0.9373855
Plumbing Apprenice courses start September 2019!,high,0.7936507936507936,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.025469,high.01456,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00676073,1456,0.9887377
Egg coloring kits are half off!,high,0.8983050847457628,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.035228,high.01457,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00952059,1457,0.94985884
"Homer Simpson is hungry, very hungry.",high,0.9833333333333332,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.166080,high.01458,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04487527,1458,0.92838097
"Robert Boochever, Juneau, Alaska, for appellees.",high,0.7972972972972973,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.169057,high.01459,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04540865,1459,0.9637165
The Party Pineapple tank is here.,high,0.8840579710144928,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.046405,high.01460,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01255236,1460,0.9402321
Shimmer snorted and shook her mane.,high,0.8082191780821918,torontofantasy.6.007535,high.01461,torontofantasy.108063,1461,0.9296025
"Underground sign, Big Ben, London 2013.",high,0.9117647058823528,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.139870,high.01462,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03761163,1462,0.9768111
"I had no choice, Old Son.",high,0.9107142857142856,torontomyst.6.006802,high.01463,torontomyst.96652,1463,0.922705
"Andy, Catie, and Sharon waved goodbye.",high,0.8108108108108109,torontoadv.6.028722,high.01464,torontoadv.503994,1464,0.95601106
"Beautiful and cute card, fabulous colouring.",high,0.76,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.131171,high.01465,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03574335,1465,0.9563539
"His son Patrick, his widow Vicki.",high,0.8690476190476191,cocaspok2009.6.007159,high.01466,cocaspok2009.0090930,1466,0.95056486
Served with Asian basil and lime.,high,0.8658536585365854,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.172023,high.01467,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04619577,1467,0.960029
"Stefanie Ortolan, a pediatrician from France.",high,0.8166666666666667,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.094850,high.01468,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02602833,1468,0.9733642
"Hi Brian, thanks for the sample.",high,0.7901234567901234,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.098097,high.01469,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02644635,1469,0.9440004
"Niol licked his lips, tasted her.",high,0.9491525423728814,torontofantasy.6.442551,high.01470,torontofantasy.5790335,1470,0.93827444
Future law student at Denver University.,high,0.8625,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.084016,high.01471,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02269788,1471,0.9553879
There's nearly 2 million in London.,high,0.8775510204081632,cornellmov.6.011417,high.01472,cornellmov.0064732,1472,0.9425745
Nice bond between father and son.,high,0.9154929577464788,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.147588,high.01473,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.03949599,1473,0.9557661
"No, son, I didn't get fired.",high,0.835820895522388,cornellmov.6.033386,high.01474,cornellmov.0202997,1474,0.91368026
"Cairo, Egypt, for Mel Gibson - hello.",high,0.9206349206349206,cocaspok1995.6.004376,high.01475,cocaspok1995.051184,1475,0.9604899
Remember the coalition attack in London?,high,0.8363636363636363,cocaspok2006.6.002690,high.01476,cocaspok2006.0046079,1476,0.9554555
"Eastern time; in nearby Copiapo, pandemonium.",high,0.8169014084507042,cocaspok2010.6.009940,high.01477,cocaspok2010.0129684,1477,0.9667102
And my son in intensive care.,high,0.9,cocaspok1994.6.003520,high.01478,cocaspok1994.0047587,1478,0.93827087
"Lovejoy with me, not Chili Palmer.",high,0.8363636363636363,cornellmov.6.018536,high.01479,cornellmov.0107737,1479,0.9263505
Acute flaccid paralysis due to rabies.,high,0.8793103448275862,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.130155,high.01480,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03510678,1480,0.9569339
Cute pic with the camera too.,high,0.868421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.112761,high.01481,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03075320,1481,0.9292119
Each bowl is handmade in Peru.,high,0.9117647058823528,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.086135,high.01482,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02303898,1482,0.9774114
This is from Flips in Philadelphia.,high,0.9454545454545454,cocaspok2000.6.005957,high.01483,cocaspok2000.0097103,1483,0.9334417
"Barbara meyers, Marriage, old dogs, retirement.",high,0.8421052631578947,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.056439,high.01484,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01525213,1484,0.9640926
"Gary Strieker reports from Kotzebue, Alaska.",high,0.8309859154929577,cocaspok2004.6.004708,high.01485,cocaspok2004.0074103,1485,0.9513315
"Friday, September 13th, 2013 at 4:38pm.",high,0.9298245614035088,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.130401,high.01486,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03518410,1486,0.9740101
The capital of Ohio is Columbus.,high,0.96,cocaspok2000.6.001085,high.01487,cocaspok2000.0020370,1487,0.9656743
"Wait a sec, Nicky, Nicky, Nicky.",high,0.9861111111111112,cornellmov.6.028261,high.01488,cornellmov.0170627,1488,0.93978703
"His grin flashed, cocksure and sexy.",high,0.8548387096774194,torontofantasy.6.431771,high.01489,torontofantasy.5694865,1489,0.91919285
"Congressman Henry Hyde, Republican of Illinois.",high,0.9154929577464788,cocaspok2001.6.007370,high.01490,cocaspok2001.0111863,1490,0.9626553
Who -- that guy at the Zoo?,high,0.875,cornellmov.6.001975,high.01491,cornellmov.0011172,1491,0.92594296
Texas steak dinner on a stick?,high,0.8620689655172413,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.044364,high.01492,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01206833,1492,0.95036656
Your men did kill Kirk's son.,high,0.8765432098765432,cornellmov.6.024271,high.01493,cornellmov.0144904,1493,0.91512334
Titanium Metals is a titanium producer.,high,0.9142857142857144,wsj.6.002284,high.01494,wsj.415491,1494,0.97225887
Free puck retrieved by Matt Niskanen.,high,0.8591549295774648,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.140408,high.01495,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.03790610,1495,0.94423616
Or read tweets about Santa Barbara?,high,0.7714285714285715,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.150840,high.01496,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04036368,1496,0.95934474
We'll go to Gary in Tennessee.,high,0.8421052631578947,cocaspok1993.6.009485,high.01497,cocaspok1993.0132803,1497,0.9231529
Vinny looked like a symphony conductor.,high,0.7857142857142857,torontomyst.6.010076,high.01498,torontomyst.140486,1498,0.92947334
Delicious Estonian cake full of blueberries.,high,0.863013698630137,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.107770,high.01499,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02912988,1499,0.9528781
I'm doing this for my son.,high,0.7142857142857143,torontofantasy.6.004857,high.01500,torontofantasy.66621,1500,0.9335677
Church is not going to die.,mid,0.9295774647887324,cornellmov.6.022811,mid.01501,cornellmov.0135432,1501,0.93509483
Identifying Marks: Scar on left cheek.,mid,0.8939393939393939,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.103638,mid.01502,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02775506,1502,0.96442306
Finn let out a low whistle.,mid,0.8367346938775511,torontofantasy.6.337230,mid.01503,torontofantasy.4427920,1503,0.90842324
It left Flemmi feeling pretty special.,mid,0.7288135593220338,torontomyst.6.177294,mid.01504,torontomyst.2253529,1504,0.9080442
"Entrepreneurs are big picture, idea people.",mid,0.864406779661017,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.136172,mid.01505,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03688705,1505,0.97433025
"Atmosphere: Small BYO, upscale and unique.",mid,0.9152542372881356,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.080517,mid.01506,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02180556,1506,0.9785234
What's left you gentlemen can have.,mid,0.7592592592592593,cornellmov.6.016191,mid.01507,cornellmov.0092748,1507,0.9203621
"Thank you very much, Martin Lewis.",mid,0.8125,cocaspok2004.6.005185,mid.01508,cocaspok2004.0081692,1508,0.9244205
Your parents came to my funeral.,mid,0.9365079365079364,cornellmov.6.016175,mid.01509,cornellmov.0092649,1509,0.93343586
Wall corners make great storage additions.,mid,0.847457627118644,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.180429,mid.01510,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04879010,1510,0.9727986
What is another word for poor?,mid,0.9420289855072465,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.059897,mid.01511,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01612030,1511,0.97238225
I put my hand back down.,mid,0.8076923076923077,torontomyst.6.013635,mid.01512,torontomyst.198892,1512,0.917287
The crew left their captain behind.,mid,0.8947368421052632,cocaspok2009.6.004100,mid.01513,cocaspok2009.0049954,1513,0.9377883
The insurance is up to date.,mid,0.7536231884057971,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.000330,mid.01514,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00008640,1514,0.9579886
Not too fat - not too thin.,mid,0.9102564102564102,cornellmov.6.035594,mid.01515,cornellmov.0217120,1515,0.9328167
I studied her pale face anxiously.,mid,0.8571428571428571,torontoadv.6.008477,mid.01516,torontoadv.141320,1516,0.9191966
"That said, he left the room.",mid,0.75,torontofantasy.6.226293,mid.01517,torontofantasy.3025950,1517,0.92421186
Do it with a custom wallpaper.,mid,0.8028169014084507,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.122018,mid.01518,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03295254,1518,0.95921725
Church attendance numbers fluctuate by branch.,mid,0.868421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.179579,mid.01519,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04806807,1519,0.9930832
Where would you put this nook?,mid,0.8387096774193549,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.024786,mid.01520,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00665288,1520,0.96578026
