sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_glove
Ari was alone with the Lieutenant.,high,0.75,torontofantasy.6.145869,high.01265,torontofantasy.1980785,1265,0.19813604655590675
"Goddammit, where are you from, Mars?",high,0.972972972972973,cornellmov.6.007605,high.01266,cornellmov.0043407,1266,0.21532479981632924
Pouring Barbra Streisand tea in London.,high,0.9014084507042254,cocaspok2009.6.008215,high.01267,cocaspok2009.0105856,1267,0.3746431545933705
"And from Quitman, Texas, ""It's funny.""",high,0.8947368421052632,cocaspok2003.6.003304,high.01268,cocaspok2003.0056512,1268,0.2985360862748376
"Johnson, Fats Waller and Duke Ellington.",high,0.9111111111111112,cocaspok2001.6.005886,high.01269,cocaspok2001.0091779,1269,0.43745843266011963
But Jasmine and Sheridan didn't smoke.,high,0.8245614035087719,torontomyst.6.149679,high.01270,torontomyst.1927524,1270,0.2726597426243051
"By Mallory Craig, Director of Clock.",high,0.84375,torontomyst.6.105391,high.01271,torontomyst.1395587,1271,0.28552498626833683
Free worksheets visual art vocabulary worksheets.,high,0.8235294117647058,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.002321,high.01272,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00062809,1272,0.4650280321318383
NAS: and Christ Jesus our Savior.,high,0.8524590163934426,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.080566,high.01273,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02195607,1273,0.3369791229291243
The Alumni Fund Report in September.,high,0.7540983606557377,brown.6.000600,high.01274,brown.010416,1274,0.26260443961847474
"Written by Alaska Expert, Judy Appel.",high,0.8936170212765957,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.181817,high.01275,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04916824,1275,0.343098093261763
May 4th: Left Folkestone for France.,high,0.8472222222222222,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.056029,high.01276,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01520829,1276,0.2768282527221769
"Redheaded guy from the house, Tadeo?",high,0.8714285714285714,torontomyst.6.175252,high.01277,torontomyst.2228018,1277,0.2606853308302632
Lizzy sat next to her son..,high,0.8888888888888888,torontofantasy.6.429451,high.01278,torontofantasy.5664692,1278,0.2328620859489428
"Grand draw on September 4th, 2019.",high,0.7972972972972973,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.080966,high.01279,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02170441,1279,0.31963193480924623
Cape wind white brand logo font?,high,0.7796610169491526,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.120420,high.01280,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03227643,1280,0.33843616142533733
"Ah, good evening, my dear Duroc.",high,0.8970588235294118,cornellmov.6.022146,high.01281,cornellmov.0130870,1281,0.2802401906331173
"That's why you're in trouble, guy.",high,0.8524590163934426,torontoadv.6.050160,high.01282,torontoadv.847775,1282,0.26642978243192944
Let's go to Jessica in Denver.,high,0.8571428571428571,cocaspok2007.6.005194,high.01283,cocaspok2007.0070008,1283,0.21209480989833218
"Breaking news tonight, live, Philadelphia suburbs.",high,0.851063829787234,cocaspok2011.6.001812,high.01284,cocaspok2011.0022168,1284,0.33250042395837676
"We're not in the showroom, Dear.",high,0.8115942028985508,cornellmov.6.001333,high.01285,cornellmov.0007361,1285,0.1895049531107725
Barbara was bleeding and in pain.,high,0.8035714285714286,cocaspok1999.6.005001,high.01286,cocaspok1999.0068036,1286,0.21788236232322372
Naomi laughed and hugged her dog.,high,0.8333333333333334,torontofantasy.6.192438,high.01287,torontofantasy.2612352,1287,0.3090161648858895
Bourbon Street ain't ever this dark.,high,0.9117647058823528,torontofantasy.6.231150,high.01288,torontofantasy.3085023,1288,0.25682186553050573
Probably the last true Southern socialite.,high,0.8194444444444444,torontofantasy.6.342014,high.01289,torontofantasy.4503578,1289,0.21100044537382628
It's a love song about Peru.,high,0.8545454545454545,cocaspok1996.6.004526,high.01290,cocaspok1996.0055989,1290,0.24579896366368922
Is this guy an illegal alien?,high,0.8596491228070176,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.148871,high.01291,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03984040,1291,0.22703009452348497
Don't you love my sexy body?!,high,0.9310344827586208,cornellmov.6.006488,high.01292,cornellmov.0037126,1292,0.24763080827128986
This is like Edgar Allen Poe.,high,0.926829268292683,wsj.6.000649,high.01293,wsj.121006,1293,0.2578836914266265
San Diego Hysterical Society home page.,high,0.8805970149253731,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.110494,high.01294,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02983551,1294,0.3154151608246888
"Olive oil, kids love olive oil.",high,0.9107142857142856,cocaspok2008.6.001191,high.01295,cocaspok2008.0015696,1295,0.39088347621762054
The drug made Alcander's lips tingle.,high,0.8333333333333334,torontofantasy.6.019396,high.01296,torontofantasy.283023,1296,0.2576670207252616
Jesse Dittley kicked in the door.,high,0.7575757575757576,torontofantasy.6.369831,high.01297,torontofantasy.4838344,1297,0.21833075791730652
"Registration closes Friday 17th June, 2016.",high,0.8,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.060588,high.01298,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01638126,1298,0.4442415305212235
Oliver married a woman from Texas.,high,0.8970588235294118,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.096468,high.01299,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02628932,1299,0.23994363392679335
Jesse Fisher is a master craftsman.,high,0.7183098591549296,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.113039,high.01300,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03030550,1300,0.2665444176400603
I didn't care about AIDS anywhere.,high,0.9625,cocaspok2007.6.011111,high.01301,cocaspok2007.0139089,1301,0.23681523880829955
Let's say you're traveling to Tokyo.,high,0.76,cocaspok2003.6.004815,high.01302,cocaspok2003.0076989,1302,0.28106217409692874
Kendra saw no sign of Seth.,high,0.7926829268292683,torontofantasy.6.321449,high.01303,torontofantasy.4216347,1303,0.23276093305295187
"Original Air Date: September 20, 2008.",high,0.9080459770114944,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.153596,high.01304,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.04112921,1304,0.31563350199574036
And some hotshot SAC from Nevada.,high,0.8305084745762712,torontomyst.6.091979,high.01305,torontomyst.1231082,1305,0.24201328136555525
Depot block renovation legs silver butcher.,high,0.7941176470588235,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.025946,high.01306,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00701260,1306,0.34804239775011203
"Wife of Edward, the king's son?",high,0.8275862068965517,cornellmov.6.001030,high.01307,cornellmov.0005675,1307,0.2563953661061655
Want more farm fresh egg recipes?,high,0.782608695652174,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.100060,high.01308,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02740321,1308,0.28093063544166247
Start booking Simian Mobile Disco now!,high,0.7647058823529411,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.030340,high.01309,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.00819095,1309,0.31927289281590604
A real Hong Kong night club.,high,0.9,cornellmov.6.036319,high.01310,cornellmov.0222215,1310,0.2706916658383038
"Durr is based near Stuttgart, Germany.",high,0.8805970149253731,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.031739,high.01311,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00845289,1311,0.3274943597813121
I'm sorry Naomi couldn't make it.,high,0.7966101694915254,cornellmov.6.017843,high.01312,cornellmov.0103312,1312,0.25288835644184116
"At the ""Guardian"" newspaper in London.",high,0.8809523809523809,cocaspok2006.6.008912,high.01313,cocaspok2006.0136636,1313,0.24907850838632148
"Lets build a chili dog, Harry.",high,0.9423076923076924,cocaspok2010.6.004404,high.01314,cocaspok2010.0056626,1314,0.23676220846645976
"I mean, I live in Texas.",high,0.9315068493150684,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.088552,high.01315,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02431119,1315,0.18779919632786338
He's a San Francisco private eye.,high,0.8507462686567164,cornellmov.6.035586,high.01316,cornellmov.0217101,1316,0.29764922725409537
Alaska banned wolf hunting by airplanes.,high,0.875,wsj.6.000593,high.01317,wsj.109203,1317,0.36831839084901175
White Irishmen didn't court Portuguese women.,high,0.8771929824561403,torontofantasy.6.228268,high.01318,torontofantasy.3047621,1318,0.3900927514392144
"Ah, everybody screws up some, Brian.",high,0.8275862068965517,cornellmov.6.016547,high.01319,cornellmov.0094874,1319,0.230387467107675
Abby stiffened at his sharp tone.,high,0.796875,torontofantasy.6.304279,high.01320,torontofantasy.3984688,1320,0.2914896529562262
The Challenge starts on June 6th!,high,0.8513513513513513,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.022173,high.01321,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00586998,1321,0.24448932464341921
"Such cruel, cruel words, Andrus dear.",high,0.8352941176470589,torontofantasy.6.282039,high.01322,torontofantasy.3675634,1322,0.35594680307345544
That's cellular telenetworking in a nutshell.,high,0.75,wsj.6.000845,high.01323,wsj.154597,1323,0.32209701757545006
"Barbara Church, and a silver mine.",high,0.8305084745762712,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.027371,high.01324,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00736747,1324,0.21636059248359005
I only trust Marie France Bodyline.,high,0.82,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.029895,high.01325,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00795381,1325,0.2632301483274837
"TS: Yes, I think that's true.",high,0.8524590163934426,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.028523,high.01326,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00767323,1326,0.2677822663964207
"Boy, sweetie, this is weird, okay.",high,0.8493150684931506,cornellmov.6.006121,high.01327,cornellmov.0034751,1327,0.24345611670888218
Kaku Highballs are only 300 yen!,high,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.011719,high.01328,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00312612,1328,0.3556700244397314
They got great chili in here.,high,0.8507462686567164,torontoadv.6.059626,high.01329,torontoadv.990258,1329,0.17734011162412347
"Don't go reading my lips, man.",high,0.9240506329113924,cornellmov.6.021793,high.01330,cornellmov.0128453,1330,0.23513576926785693
Today I was a lima bean.,high,0.8979591836734694,cocaspok2003.6.001616,high.01331,cocaspok2003.0030169,1331,0.20129337769066652
"Seth looked around, then at Kele.",high,0.8333333333333334,torontomyst.6.051037,high.01332,torontomyst.716208,1332,0.24345169679451245
Sage yelled from the other side.,high,0.7627118644067796,torontofantasy.6.114006,high.01333,torontofantasy.1630592,1333,0.20886752212053744
Beat in egg and vanilla extract.,high,0.8983050847457628,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.095686,high.01334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02558893,1334,0.30193556528663384
"I'll say goodbye to you, Tita.",high,0.9032258064516128,cornellmov.6.009308,high.01335,cornellmov.0053288,1335,0.2794960206897606
Recommended: Dogs on a Pretzel Bun.,high,0.9078947368421052,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.077859,high.01336,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02133990,1336,0.28763892584814776
The man who owns the enchilada.,high,0.8857142857142857,torontofantasy.6.217992,high.01337,torontofantasy.2933742,1337,0.22936275104530524
"Why did Guy beat you, Jack?",high,0.828125,cornellmov.6.002753,high.01338,cornellmov.0015596,1338,0.20564943384030537
"Christ Ministry Center, 3295 Meade Ave.",high,0.8923076923076924,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.055443,high.01339,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01480646,1339,0.48777007444401405
Chloe wrapped her arms around Connor.,high,0.8309859154929577,torontofantasy.6.437847,high.01340,torontofantasy.5749678,1340,0.29479569026406743
"The ogre lived in Ogreville, Ogreland.",high,0.8627450980392157,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.015071,high.01341,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00401810,1341,0.26141302969276836
Does olive oil work for tanning?,high,0.9827586206896552,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.137249,high.01342,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03701100,1342,0.2687201803552804
September is childhood cancer awareness month.,high,0.84,cocaspok2010.6.009206,high.01343,cocaspok2010.0119469,1343,0.2913665415248376
Dress the asparagus tips and reserve.,high,0.8764044943820225,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.154609,high.01344,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04135608,1344,0.24893082035662556
Has 120db True WDR as well.,high,0.8428571428571429,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.076884,high.01345,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02060324,1345,0.27048153504709754
They didn't do anything in Rwanda.,high,0.8918918918918919,cocaspok2005.6.002648,high.01346,cocaspok2005.0044907,1346,0.2258063289223171
Christ loves and died for ALL.,high,0.9402985074626866,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.046398,high.01347,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01272388,1347,0.21665015807966043
His name quivers from my lips.,high,0.8939393939393939,torontofantasy.6.289233,high.01348,torontofantasy.3771995,1348,0.25415280055583644
Rap is the latest musical fad.,high,0.9571428571428572,cocaspok1991.6.006402,high.01349,cocaspok1991.0110885,1349,0.2574399969638891
"Yang is muscle, Yin is fascia.",high,0.9322033898305084,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.011646,high.01350,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00310113,1350,0.37614907000869313
"Painting: Swampscott to Lynn, MA Seawall.",high,0.7368421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.097226,high.01351,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02634260,1351,0.41618578365370107
"He's very handsome, yes, but, sweetie...",high,0.8813559322033898,torontofantasy.6.178717,high.01352,torontofantasy.2434339,1352,0.28199841931873815
There are those Tennessee Titans cheerleaders.,high,0.9166666666666666,cocaspok2004.6.007877,high.01353,cocaspok2004.0116915,1353,0.27397677883693405
We'll go next to San Diego.,high,0.872093023255814,cocaspok1998.6.010411,high.01354,cocaspok1998.0141242,1354,0.25326330969665334
Seth Lucio picked up the win.,high,0.7627118644067796,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.153313,high.01355,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04147989,1355,0.2390425891089403
"This is Doc from York, Pennsylvania.",high,0.84,cocaspok1993.6.005077,high.01356,cocaspok1993.0063342,1356,0.234229585987847
"To Iran, Bosnia, Athens, Istanbul, salute!",high,0.9069767441860463,torontofantasy.6.085073,high.01357,torontofantasy.1260448,1357,0.4260510004366395
"Major Strasser, my aide, Lieutenant Casselle.",high,0.7976190476190477,cornellmov.6.001085,high.01358,cornellmov.0006005,1358,0.4231483895577927
"Ike Clanton, Old Man's eldest son.",high,0.7346938775510204,cornellmov.6.039603,high.01359,cornellmov.0243618,1359,0.47233984261273826
"Umeo in San Francisco, my hometown.",high,0.8412698412698413,cocaspok2000.6.000399,high.01360,cocaspok2000.0009232,1360,0.29473812352839096
Embassy in Italy and the U.S.,high,0.7714285714285715,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.001554,high.01361,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00041547,1361,0.2555115690487925
They bicycled through Austria last summer.,high,0.8169014084507042,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.061306,high.01362,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01650505,1362,0.2479074660610805
Tiny soup champagne volunteer personalized denver.,high,0.696969696969697,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.114541,high.01363,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03123812,1363,0.3635306790183378
"Barak shrugged, hefting a boar spear.",high,0.8115942028985508,torontofantasy.6.419251,high.01364,torontofantasy.5508494,1364,0.4688096026879255
"Say, a Tuscan hillside in June?",high,0.8157894736842105,cornellmov.6.016463,high.01365,cornellmov.0094423,1365,0.23569162714527972
Ethan pursed his surprisingly sensual lips..,high,0.8823529411764706,torontomyst.6.161857,high.01366,torontomyst.2089206,1366,0.4061201739291604
My children devoured these mozzerella sticks!,high,0.9152542372881356,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.6.138136,high.01367,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03762702,1367,0.2972674058837219
Veni and Son are countryside caterers.,high,0.8181818181818182,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.141195,high.01368,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03825831,1368,0.3122230496135577
"NOTD: Collection 2000 hot looks ""Diva"".",high,0.9090909090909092,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.078005,high.01369,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02101957,1369,0.3454482038184628
Everything has maple sugar in it.,high,0.9523809523809524,cocaspok2011.6.006691,high.01370,cocaspok2011.0085323,1370,0.20670019219818403
A sojourner like all my fathers.,high,0.819672131147541,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.077262,high.01371,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02094419,1371,0.2008962373261429
Public relations experts in San Diego.,high,0.7659574468085106,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.155222,high.01372,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04192524,1372,0.3062038976858555
"Alissa Weiss comes from Philadelphia, Pennsylvania.",high,0.8918918918918919,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.096516,high.01373,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02609025,1373,0.326880887389449
Natural artisan soap handcrafted in Tennessee.,high,0.8356164383561644,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.155797,high.01374,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04207904,1374,0.3829453690609008
He's the real son of God.,high,0.9444444444444444,cocaspok2005.6.007477,high.01375,cocaspok2005.0114121,1375,0.22109738541237683
"Aw, it's gotta be a typo.",high,0.9154929577464788,cornellmov.6.014830,high.01376,cornellmov.0084527,1376,0.2958038466667331
"Scott cried, pursing his pink lips.",high,0.8909090909090909,torontomyst.6.081838,high.01377,torontomyst.1106822,1377,0.33989962703099585
Little cute shoes adorned her feet.,high,0.8571428571428571,torontofantasy.6.112027,high.01378,torontofantasy.1607649,1378,0.30742328705290417
"It was Wednesday, September 16th, 2015.",high,0.9482758620689656,torontofantasy.6.061942,high.01379,torontofantasy.909088,1379,0.2915960292592182
Steven looked dapper in Tom Ford.,high,0.8941176470588236,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.082775,high.01380,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.02267896,1380,0.2929691796580659
"For NPR News, I'm Nancy Solomon.",high,0.8783783783783784,cocaspok2004.6.000493,high.01381,cocaspok2004.0006614,1381,0.35376141027586905
"All right, Angela Poe in Mobile.",high,0.7719298245614035,cocaspok1998.6.002381,high.01382,cocaspok1998.0034348,1382,0.21078557903450948
"Dear God, at what a price.",high,0.9019607843137256,brown.6.001242,high.01383,brown.024844,1383,0.1921776352030008
Accredited nursing school located in Ohio.,high,0.8148148148148148,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.038250,high.01384,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01028832,1384,0.3467558955530257
"For CNN Sports, I'm Matt Morrison.",high,0.9253731343283582,cocaspok2003.6.002756,high.01385,cocaspok2003.0047895,1385,0.33637984602349297
Will hold about 400 lbs grapes.,high,0.8533333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.091505,high.01386,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02449841,1386,0.2602985661214433
"Yes, the Fray Diego de Landa.",high,0.8421052631578947,torontofantasy.6.282728,high.01387,torontofantasy.3682533,1387,0.33177617353751365
The Duchess of Kent visits Italy.,high,0.8867924528301887,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.107665,high.01388,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.02906181,1388,0.291760229341185
Ford sales fell by 14 percent.,high,0.8666666666666667,cocaspok1991.6.003774,high.01389,cocaspok1991.0055341,1389,0.3070697180914709
He's the guy with the cowbell.,high,0.8309859154929577,cocaspok2006.6.005836,high.01390,cocaspok2006.0092963,1390,0.22795186295195632
Flights to Cairo and Kiev... canceled.,high,0.9253731343283582,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.159303,high.01391,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04280161,1391,0.34935493000284024
"Olivetti pursed his lips, looking dour.",high,0.7901234567901234,torontomyst.6.066081,high.01392,torontomyst.916157,1392,0.4385443323712149
Seth didn't even bother chasing Derek.,high,0.8072289156626506,torontofantasy.6.320999,high.01393,torontofantasy.4211939,1393,0.34437672852475265
"Tested and verified June 18, 2018.",high,0.8529411764705882,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.123745,high.01394,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03348671,1394,0.33025273049220377
But it's still clingy and sexy.,high,0.918032786885246,cocaspok2000.6.005541,high.01395,cocaspok2000.0092432,1395,0.2644805695917851
Does Germany need a plan B?,high,0.92,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.049709,high.01396,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01325225,1396,0.20144605925949363
Antimatter is yin to matter's yang.,high,0.9,torontomyst.6.065658,high.01397,torontomyst.911700,1397,0.35259246150902496
I looked at my sleeping son.,high,0.8545454545454545,torontomyst.6.121863,high.01398,torontomyst.1604573,1398,0.2163160299663476
And we bombed Sudan and Afghanistan.,high,0.9375,cocaspok2001.6.002070,high.01399,cocaspok2001.0037520,1399,0.29335703262183743
Now let's talk about Donkey Kong.,high,0.967741935483871,cocaspok2007.6.009623,high.01400,cocaspok2007.0122500,1400,0.25467446651086884
This pineapple salsa is so good!,high,0.8571428571428571,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.115464,high.01401,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.03101272,1401,0.2218064050308554
Your baby is so cute too!!,high,0.8714285714285714,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.086759,high.01402,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02351923,1402,0.20102416808842022
Captain Chas Turner pursed his lips.,high,0.8166666666666667,torontomyst.6.109808,high.01403,torontomyst.1452841,1403,0.39913124806942346
"Customer service on September 7, 2016.",high,0.8428571428571429,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.166638,high.01404,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04460022,1404,0.2912174152336732
And he'll turn 70 in September.,high,0.9152542372881356,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.6.044799,high.01405,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01207716,1405,0.2047389022978154
"You liked that Memphis Minnie, huh?",high,0.8674698795180723,cornellmov.6.018682,high.01406,cornellmov.0108766,1406,0.23671453869776185
He's up in Washington from Atlanta.,high,0.7962962962962963,cocaspok1991.6.002412,high.01407,cocaspok1991.0039184,1407,0.23962805804790124
Are cash rebates legal in Nevada?,high,0.8823529411764706,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.035662,high.01408,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00964339,1408,0.2918647705132292
With me and Texas Mike O'Shay.,high,0.8607594936708861,cornellmov.6.030654,high.01409,cornellmov.0185743,1409,0.21964133427410895
"Jason Carroll in Lancaster County, Pennsylvania.",high,0.8837209302325582,cocaspok2006.6.006786,high.01410,cocaspok2006.0106754,1410,0.38500348913245375
Illinois Cru: 2018 Bermuda Classic Champions!,high,0.821917808219178,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.022598,high.01411,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00619687,1411,0.4760614146820374
It's animal cruelty frying a unicorn.,high,0.8852459016393442,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.115273,high.01412,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03089611,1412,0.398898612199101
But Superman isn't an average man.,high,0.8983050847457628,cornellmov.6.013926,high.01413,cornellmov.0079195,1413,0.22560157001783274
"But I'm a patriot, my dear.",high,0.863013698630137,torontofantasy.6.354241,high.01414,torontofantasy.4652768,1414,0.22854577539407725
I didn't write the Elvis verse.,high,0.8823529411764706,cocaspok1999.6.010374,high.01415,cocaspok1999.0135606,1415,0.25567008333030583
Say goodbye to off white icing!,high,0.9285714285714286,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.162247,high.01416,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04376733,1416,0.21325350903240714
"Dear daughter in law, happy birthday!",high,0.868421052631579,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.6.017925,high.01417,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00478761,1417,0.2548173322436015
